Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason?
2017,Hall Of Fame,FINAL,THU,08/03,Cardinals,1-1,18.0,0.0,Cowboys,1-1,20.0,1.0,,,0
2017,Preseason Week 1,FINAL,WED,08/09,Texans,1-1,17.0,0.0,Panthers,1-1,27.0,1.0,,,0
2017,Preseason Week 1,FINAL,THU,08/10,Vikings,1-1,17.0,1.0,Bills,0-2,10.0,0.0,,,0
2017,Preseason Week 1,FINAL,THU,08/10,Falcons,0-2,20.0,0.0,Dolphins,1-1,23.0,1.0,,,0
2017,Preseason Week 1,FINAL,THU,08/10,Redskins,0-2,3.0,0.0,Ravens,2-0,23.0,1.0,,,0
2017,Preseason Week 1,FINAL,THU,08/10,Jaguars,1-1,31.0,1.0,Patriots,0-2,24.0,0.0,,,0
2017,Preseason Week 1,FINAL,THU,08/10,Broncos,2-0,24.0,1.0,Bears,1-1,17.0,0.0,,,0
2017,Preseason Week 1,FINAL,THU,08/10,Saints,1-1,14.0,0.0,Browns,2-0,20.0,1.0,,,0
2017,Preseason Week 1,FINAL,THU,08/10,Eagles,1-1,9.0,0.0,Packers,2-0,24.0,1.0,,,0
2017,Preseason Week 1,FINAL,FRI,08/11,Steelers,2-0,20.0,1.0,Giants,0-2,12.0,0.0,,,0
2017,Preseason Week 1,FINAL,FRI,08/11,Buccaneers,1-1,12.0,0.0,Bengals,1-1,23.0,1.0,,,0
2017,Preseason Week 1,FINAL,FRI,08/11,49ers,1-1,27.0,1.0,Chiefs,1-1,17.0,0.0,,,0
2017,Preseason Week 1,FINAL,SAT,08/12,Titans,1-1,3.0,0.0,Jets,1-1,7.0,1.0,,,0
2017,Preseason Week 1,FINAL,SAT,08/12,Cowboys,2-1,10.0,0.0,Rams,2-0,13.0,1.0,,,0
2017,Preseason Week 1,FINAL,SAT,08/12,Raiders,0-2,10.0,0.0,Cardinals,1-2,20.0,1.0,,,0
2017,Preseason Week 1,FINAL,SUN,08/13,Lions,2-0,24.0,1.0,Colts,0-2,10.0,0.0,,,0
2017,Preseason Week 1,FINAL,SUN,08/13,Seahawks,2-0,48.0,1.0,Chargers,0-2,17.0,0.0,,,0
2017,Preseason Week 2,FINAL,THU,08/17,Ravens,3-0,31.0,1.0,Dolphins,1-2,7.0,0.0,,,0
2017,Preseason Week 2,FINAL,THU,08/17,Bills,0-3,16.0,0.0,Eagles,2-1,20.0,1.0,,,0
2017,Preseason Week 2,FINAL,THU,08/17,Buccaneers,1-2,12.0,1.0,Jaguars,1-2,8.0,0.0,,,0
2017,Preseason Week 2,FINAL,FRI,08/18,Vikings,2-1,13.0,0.0,Seahawks,3-0,20.0,1.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Panthers,2-1,27.0,0.0,Titans,1-2,34.0,1.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Chiefs,1-2,30.0,1.0,Bengals,1-2,12.0,0.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Colts,1-2,19.0,0.0,Cowboys,3-1,24.0,1.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Jets,1-2,6.0,0.0,Lions,2-1,16.0,1.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Packers,2-1,21.0,1.0,Redskins,1-2,17.0,0.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Patriots,1-2,23.0,0.0,Texans,1-2,27.0,1.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Rams,2-1,24.0,1.0,Raiders,0-3,21.0,0.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Broncos,3-0,33.0,1.0,49ers,1-2,14.0,0.0,,,0
2017,Preseason Week 2,FINAL,SAT,08/19,Bears,2-1,24.0,1.0,Cardinals,2-2,23.0,0.0,,,0
2017,Preseason Week 2,FINAL,SUN,08/20,Falcons,0-3,13.0,0.0,Steelers,2-1,17.0,1.0,,,0
2017,Preseason Week 2,FINAL,SUN,08/20,Saints,2-1,13.0,1.0,Chargers,1-2,7.0,0.0,,,0
2017,Preseason Week 2,FINAL,MON,08/21,Giants,1-2,6.0,0.0,Browns,3-0,10.0,1.0,,,0
2017,Preseason Week 3,FINAL,THU,08/24,Dolphins,2-2,31.0,0.0,Eagles,2-2,38.0,1.0,,,0
2017,Preseason Week 3,FINAL,THU,08/24,Panthers,2-2,24.0,1.0,Jaguars,2-2,23.0,0.0,,,0
2017,Preseason Week 3,FINAL,FRI,08/25,Patriots,1-3,30.0,1.0,Lions,2-2,28.0,0.0,,,0
2017,Preseason Week 3,FINAL,FRI,08/25,Chiefs,2-2,13.0,0.0,Seahawks,4-0,26.0,1.0,,,0
2017,Preseason Week 3,FINAL,SAT,08/26,Cardinals,2-3,24.0,1.0,Falcons,0-4,14.0,0.0,,,0
2017,Preseason Week 3,FINAL,SAT,08/26,Bills,1-3,9.0,0.0,Ravens,4-0,13.0,1.0,,,0
2017,Preseason Week 3,FINAL,SAT,08/26,Jets,2-2,31.0,0.0,Giants,2-2,32.0,1.0,,,0
2017,Preseason Week 3,FINAL,SAT,08/26,Colts,2-2,19.0,1.0,Steelers,3-1,15.0,0.0,,,0
2017,Preseason Week 3,FINAL,SAT,08/26,Browns,4-0,13.0,1.0,Buccaneers,1-3,9.0,0.0,,,0
2017,Preseason Week 3,FINAL,SAT,08/26,Raiders,0-4,20.0,0.0,Cowboys,3-1,24.0,1.0,,,0
