Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason?
2022,Hall Of Fame,FINAL,THU,08/04,Jaguars,0-2,11,0.0,Raiders,2-0,27,1.0,,,0
2022,Preseason Week 1,FINAL,THU,08/11,Giants,2-0,23,1.0,Patriots,1-1,21,0.0,,,0
2022,Preseason Week 1,FINAL,THU,08/11,Titans,1-1,10,0.0,Ravens,2-0,23,1.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Falcons,1-1,27,1.0,Lions,1-1,23,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Browns,1-1,24,1.0,Jaguars,0-3,13,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Cardinals,1-1,36,1.0,Bengals,0-2,23,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Jets,2-0,24,1.0,Eagles,1-1,21,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Packers,1-1,21,0.0,49ers,2-0,28,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Panthers,1-1,23,1.0,Commanders,0-2,21,0.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Chiefs,1-1,14,0.0,Bears,2-0,19,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Colts,0-2,24,0.0,Bills,2-0,27,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Seahawks,0-2,25,0.0,Steelers,2-0,32,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Dolphins,1-1,26,1.0,Buccaneers,0-2,24,0.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Saints,0-2,13,0.0,Texans,2-0,17,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Cowboys,1-1,7,0.0,Broncos,1-1,17,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Rams,1-1,29,1.0,Chargers,0-2,22,0.0,,,0
2022,Preseason Week 1,FINAL,SUN,08/14,Vikings,0-2,20,0.0,Raiders,3-0,26,1.0,,,0
2022,Preseason Week 2,FINAL,THU,08/18,Bears,3-0,27,1.0,Seahawks,0-3,11,0.0,,,0
2022,Preseason Week 2,FINAL,FRI,08/19,Panthers,2-1,10,0.0,Patriots,1-2,20,1.0,,,0
2022,Preseason Week 2,FINAL,FRI,08/19,Saints,1-2,10,0.0,Packers,1-2,20,1.0,,,0
2022,Preseason Week 2,FINAL,FRI,08/19,Texans,3-0,24,1.0,Rams,1-2,20,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Lions,1-2,27,1.0,Colts,1-2,26,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Broncos,2-1,15,0.0,Bills,2-1,42,1.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Commanders,0-3,14,0.0,Chiefs,2-1,24,1.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Buccaneers,0-3,3,0.0,Titans,2-1,13,1.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,49ers,2-1,17,1.0,Vikings,0-3,7,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Steelers,3-0,16,1.0,Jaguars,0-4,15,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Raiders,4-0,15,1.0,Dolphins,2-1,13,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Cowboys,2-1,32,1.0,Chargers,0-3,18,0.0,,,0
2022,Preseason Week 2,FINAL,SUN,08/21,Eagles,1-2,21,1.0,Browns,1-2,20,0.0,,,0
2022,Preseason Week 2,FINAL,SUN,08/21,Bengals,1-2,22,0.0,Giants,2-1,25,1.0,,,0
2022,Preseason Week 2,FINAL,SUN,08/21,Ravens,3-0,24,1.0,Cardinals,1-2,17,0.0,,,0
2022,Preseason Week 2,FINAL,MON,08/22,Falcons,2-1,16,0.0,Jets,3-0,24,1.0,,,0
2022,Preseason Week 3,FINAL,THU,08/25,Packers,0-0,10,0.0,Chiefs,0-0,17,1.0,,,0
2022,Preseason Week 3,FINAL,THU,08/25,49ers,0-0,0,0.0,Texans,0-0,17,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Bills,0-0,0,0.0,Panthers,0-0,21,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Seahawks,0-0,26,0.0,Cowboys,0-0,27,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Chargers,0-0,10,0.0,Saints,0-0,27,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Patriots,0-0,6,0.0,Raiders,0-0,23,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Jaguars,0-0,12,0.0,Falcons,0-0,28,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Rams,0-0,7,0.0,Bengals,0-0,16,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Commanders,0-0,15,0.0,Ravens,0-0,17,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Eagles,0-0,10,0.0,Dolphins,0-0,48,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Bears,0-0,21,1.0,Browns,0-0,20,0.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Cardinals,0-0,23,0.0,Titans,0-0,26,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Buccaneers,0-0,10,0.0,Colts,0-0,27,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Vikings,0-0,13,0.0,Broncos,0-0,23,1.0,,,0
2022,Preseason Week 3,FINAL,SUN,08/28,Giants,0-0,27,0.0,Jets,0-0,31,1.0,,,0
2022,Preseason Week 3,FINAL,SUN,08/28,Lions,0-0,9,0.0,Steelers,0-0,19,1.0,,,0
2022,Week 1,FINAL,THU,09/08,Bills,1-0,31,1.0,Rams,0-1,10,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Saints,1-0,27,1.0,Falcons,0-1,26,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Browns,1-0,26,1.0,Panthers,0-1,24,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,49ers,0-1,10,0.0,Bears,1-0,19,1.0,,,0
2022,Week 1,FINAL,SUN,09/11,Steelers,1-0,23,1.0,Bengals,0-1,20,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Eagles,1-0,38,1.0,Lions,0-1,35,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Colts,0-0-1,20,0.0,Texans,0-0-1,20,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Patriots,0-1,7,0.0,Dolphins,1-0,20,1.0,,,0
2022,Week 1,FINAL,SUN,09/11,Ravens,1-0,24,1.0,Jets,0-1,9,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Jaguars,0-1,22,0.0,Commanders,1-0,28,1.0,,,0
2022,Week 1,FINAL,SUN,09/11,Giants,1-0,21,1.0,Titans,0-1,20,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Chiefs,1-0,44,1.0,Cardinals,0-1,21,0.0,,,0
2022,Week 1,FINAL,SUN,09/11,Raiders,0-1,19,0.0,Chargers,1-0,24,1.0,,,0
2022,Week 1,FINAL,SUN,09/11,Packers,0-1,7,0.0,Vikings,1-0,23,1.0,,,0
2022,Week 1,FINAL,SUN,09/11,Buccaneers,1-0,19,1.0,Cowboys,0-1,3,0.0,,,0
2022,Week 1,FINAL,MON,09/12,Broncos,0-1,16,0.0,Seahawks,1-0,17,1.0,,,0
2022,Week 2,FINAL,THU,09/15,Chargers,1-1,24,0.0,Chiefs,2-0,27,1.0,,,0
2022,Week 2,FINAL,SUN,09/18,Dolphins,2-0,42,1.0,Ravens,1-1,38,0.0,,,0
2022,Week 2,FINAL,SUN,09/18,Jets,1-1,31,1.0,Browns,1-1,30,0.0,,,0
2022,Week 2,FINAL,SUN,09/18,Commanders,1-1,27,0.0,Lions,1-1,36,1.0,,,0
2022,Week 2,FINAL,SUN,09/18,Colts,0-1-1,0,0.0,Jaguars,1-1,24,1.0,,,0
