Season,Week,GameStatus,GameSlot,GameDate,AwayTeam,AwayScore,HomeTeam,HomeScore
2017,HALL OF FAME,FINAL,Thursday,August 3rd,ARI,18.0,DAL,20.0
2017,PRESEASON WEEK 1,FINAL,Wednesday,August 9th,HOU,17.0,CAR,27.0
2017,PRESEASON WEEK 1,FINAL,Thursday,August 10th,MIN,17.0,BUF,10.0
2017,PRESEASON WEEK 1,FINAL,Thursday,August 10th,ATL,20.0,MIA,23.0
2017,PRESEASON WEEK 1,FINAL,Thursday,August 10th,WAS,3.0,BAL,23.0
2017,PRESEASON WEEK 1,FINAL,Thursday,August 10th,JAC,31.0,NE,24.0
2017,PRESEASON WEEK 1,FINAL,Thursday,August 10th,DEN,24.0,CHI,17.0
2017,PRESEASON WEEK 1,FINAL,Thursday,August 10th,NO,14.0,CLE,20.0
2017,PRESEASON WEEK 1,FINAL,Thursday,August 10th,PHI,9.0,GB,24.0
2017,PRESEASON WEEK 1,FINAL,Friday,August 11th,PIT,20.0,NYG,12.0
2017,PRESEASON WEEK 1,FINAL,Friday,August 11th,TB,12.0,CIN,23.0
2017,PRESEASON WEEK 1,FINAL,Friday,August 11th,SF,27.0,KC,17.0
2017,PRESEASON WEEK 1,FINAL,Saturday,August 12th,TEN,3.0,NYJ,7.0
2017,PRESEASON WEEK 1,FINAL,Saturday,August 12th,DAL,10.0,LAR,13.0
2017,PRESEASON WEEK 1,FINAL,Saturday,August 12th,OAK,10.0,ARI,20.0
2017,PRESEASON WEEK 1,FINAL,Sunday,August 13th,DET,24.0,IND,10.0
2017,PRESEASON WEEK 1,FINAL,Sunday,August 13th,SEA,48.0,LAC,17.0
2017,PRESEASON WEEK 2,FINAL,Thursday,August 17th,BAL,31.0,MIA,7.0
2017,PRESEASON WEEK 2,FINAL,Thursday,August 17th,BUF,16.0,PHI,20.0
2017,PRESEASON WEEK 2,FINAL,Thursday,August 17th,TB,12.0,JAC,8.0
2017,PRESEASON WEEK 2,FINAL,Friday,August 18th,MIN,13.0,SEA,20.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,CAR,27.0,TEN,34.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,KC,30.0,CIN,12.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,IND,19.0,DAL,24.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,NYJ,6.0,DET,16.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,GB,21.0,WAS,17.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,NE,23.0,HOU,27.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,LAR,24.0,OAK,21.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,DEN,33.0,SF,14.0
2017,PRESEASON WEEK 2,FINAL,Saturday,August 19th,CHI,24.0,ARI,23.0
2017,PRESEASON WEEK 2,FINAL,Sunday,August 20th,ATL,13.0,PIT,17.0
2017,PRESEASON WEEK 2,FINAL,Sunday,August 20th,NO,13.0,LAC,7.0
2017,PRESEASON WEEK 2,FINAL,Monday,August 21st,NYG,6.0,CLE,10.0
2017,PRESEASON WEEK 3,FINAL,Thursday,August 24th,MIA,31.0,PHI,38.0
2017,PRESEASON WEEK 3,FINAL,Thursday,August 24th,CAR,24.0,JAC,23.0
2017,PRESEASON WEEK 3,FINAL,Friday,August 25th,NE,30.0,DET,28.0
2017,PRESEASON WEEK 3,FINAL,Friday,August 25th,KC,13.0,SEA,26.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,ARI,24.0,ATL,14.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,BUF,9.0,BAL,13.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,NYJ,31.0,NYG,32.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,IND,19.0,PIT,15.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,CLE,13.0,TB,9.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,OAK,20.0,DAL,24.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,LAC,21.0,LAR,19.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,HOU,0.0,NO,13.0
2017,PRESEASON WEEK 3,FINAL,Saturday,August 26th,GB,17.0,DEN,20.0
2017,PRESEASON WEEK 3,FINAL,Sunday,August 27th,CHI,19.0,TEN,7.0
2017,PRESEASON WEEK 3,FINAL,Sunday,August 27th,CIN,17.0,WAS,23.0
