Season,Week,GameStatus,GameSlot,GameDate,AwayTeam,AwayScore,HomeTeam,HomeScore
2010,HALL OF FAME,FINAL,Sunday,August 8th,DAL,16.0,CIN,7.0
2010,PRESEASON WEEK 1,FINAL,Thursday,August 12th,CAR,12.0,BAL,17.0
2010,PRESEASON WEEK 1,FINAL,Thursday,August 12th,NO,24.0,NE,27.0
2010,PRESEASON WEEK 1,FINAL,Thursday,August 12th,OAK,17.0,DAL,9.0
2010,PRESEASON WEEK 1,FINAL,Friday,August 13th,BUF,17.0,WAS,42.0
2010,PRESEASON WEEK 1,FINAL,Friday,August 13th,JAC,27.0,PHI,28.0
2010,PRESEASON WEEK 1,FINAL,Friday,August 13th,KC,10.0,ATL,20.0
2010,PRESEASON WEEK 1,FINAL,Saturday,August 14th,TB,7.0,MIA,10.0
2010,PRESEASON WEEK 1,FINAL,Saturday,August 14th,DET,7.0,PIT,23.0
2010,PRESEASON WEEK 1,FINAL,Saturday,August 14th,CLE,27.0,GB,24.0
2010,PRESEASON WEEK 1,FINAL,Saturday,August 14th,HOU,16.0,ARI,19.0
2010,PRESEASON WEEK 1,FINAL,Saturday,August 14th,MIN,28.0,STL,7.0
2010,PRESEASON WEEK 1,FINAL,Saturday,August 14th,CHI,10.0,SD,25.0
2010,PRESEASON WEEK 1,FINAL,Saturday,August 14th,TEN,18.0,SEA,20.0
2010,PRESEASON WEEK 1,FINAL,Sunday,August 15th,SF,37.0,IND,17.0
2010,PRESEASON WEEK 1,FINAL,Sunday,August 15th,DEN,24.0,CIN,33.0
2010,PRESEASON WEEK 1,FINAL,Monday,August 16th,NYG,31.0,NYJ,16.0
2010,PRESEASON WEEK 2,FINAL,Thursday,August 19th,NE,28.0,ATL,10.0
2010,PRESEASON WEEK 2,FINAL,Thursday,August 19th,IND,21.0,BUF,34.0
2010,PRESEASON WEEK 2,FINAL,Friday,August 20th,PHI,9.0,CIN,22.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,BAL,23.0,WAS,3.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,PIT,24.0,NYG,17.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,KC,15.0,TB,20.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,MIA,27.0,JAC,26.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,STL,19.0,CLE,17.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,HOU,20.0,NO,38.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,NYJ,9.0,CAR,3.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,OAK,32.0,CHI,17.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,DAL,16.0,SD,14.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,DET,25.0,DEN,20.0
2010,PRESEASON WEEK 2,FINAL,Saturday,August 21st,GB,27.0,SEA,24.0
2010,PRESEASON WEEK 2,FINAL,Sunday,August 22nd,MIN,10.0,SF,15.0
2010,PRESEASON WEEK 2,FINAL,Monday,August 23rd,ARI,10.0,TEN,24.0
2010,PRESEASON WEEK 3,FINAL,Thursday,August 26th,IND,24.0,GB,59.0
2010,PRESEASON WEEK 3,FINAL,Thursday,August 26th,STL,36.0,NE,35.0
2010,PRESEASON WEEK 3,FINAL,Friday,August 27th,SD,21.0,NO,36.0
2010,PRESEASON WEEK 3,FINAL,Friday,August 27th,ATL,16.0,MIA,6.0
2010,PRESEASON WEEK 3,FINAL,Friday,August 27th,WAS,16.0,NYJ,11.0
2010,PRESEASON WEEK 3,FINAL,Friday,August 27th,PHI,20.0,KC,17.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,DAL,7.0,HOU,23.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,CLE,27.0,DET,35.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,CIN,20.0,BUF,35.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,JAC,19.0,TB,13.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,NYG,10.0,BAL,24.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,SEA,13.0,MIN,24.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,TEN,7.0,CAR,15.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,ARI,14.0,CHI,9.0
2010,PRESEASON WEEK 3,FINAL,Saturday,August 28th,SF,28.0,OAK,24.0
