Season,Week,GameStatus,GameSlot,GameDate,AwayTeam,AwayScore,HomeTeam,HomeScore
2023,HALL OF FAME,FINAL,Thursday,August 3rd,NYJ,16.0,CLE,21.0
2023,PRESEASON WEEK 1,FINAL,Thursday,August 10th,HOU,20.0,NE,9.0
2023,PRESEASON WEEK 1,FINAL,Thursday,August 10th,MIN,13.0,SEA,24.0
2023,PRESEASON WEEK 1,FINAL,Friday,August 11th,NYG,16.0,DET,21.0
2023,PRESEASON WEEK 1,FINAL,Friday,August 11th,PIT,27.0,TB,17.0
2023,PRESEASON WEEK 1,FINAL,Friday,August 11th,GB,36.0,CIN,19.0
2023,PRESEASON WEEK 1,FINAL,Friday,August 11th,ATL,19.0,MIA,3.0
2023,PRESEASON WEEK 1,FINAL,Friday,August 11th,WAS,17.0,CLE,15.0
2023,PRESEASON WEEK 1,FINAL,Friday,August 11th,DEN,17.0,ARI,18.0
2023,PRESEASON WEEK 1,FINAL,Saturday,August 12th,TEN,17.0,CHI,23.0
2023,PRESEASON WEEK 1,FINAL,Saturday,August 12th,IND,19.0,BUF,23.0
2023,PRESEASON WEEK 1,FINAL,Saturday,August 12th,NYJ,27.0,CAR,0.0
2023,PRESEASON WEEK 1,FINAL,Saturday,August 12th,JAX,28.0,DAL,23.0
2023,PRESEASON WEEK 1,FINAL,Saturday,August 12th,PHI,19.0,BAL,20.0
2023,PRESEASON WEEK 1,FINAL,Saturday,August 12th,LAC,34.0,LAR,17.0
2023,PRESEASON WEEK 1,FINAL,Sunday,August 13th,KC,24.0,NO,26.0
2023,PRESEASON WEEK 1,FINAL,Sunday,August 13th,SF,7.0,LV,34.0
2023,PRESEASON WEEK 2,FINAL,Thursday,August 17th,CLE,18.0,PHI,18.0
2023,PRESEASON WEEK 2,FINAL,Friday,August 18th,CAR,19.0,NYG,21.0
2023,PRESEASON WEEK 2,FINAL,Friday,August 18th,CIN,13.0,ATL,13.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,JAX,25.0,DET,7.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,MIA,28.0,HOU,3.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,BUF,15.0,PIT,27.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,CHI,17.0,IND,24.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,TB,13.0,NYJ,6.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,NE,21.0,GB,17.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,TEN,24.0,MIN,16.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,KC,38.0,ARI,10.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,DEN,20.0,SF,21.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,LV,34.0,LAR,17.0
2023,PRESEASON WEEK 2,FINAL,Saturday,August 19th,DAL,14.0,SEA,22.0
2023,PRESEASON WEEK 2,FINAL,Sunday,August 20th,NO,22.0,LAC,17.0
2023,PRESEASON WEEK 2,FINAL,Monday,August 21st,BAL,28.0,WAS,29.0
2023,PRESEASON WEEK 3,FINAL,Thursday,August 24th,PIT,24.0,ATL,0.0
2023,PRESEASON WEEK 3,FINAL,Thursday,August 24th,IND,27.0,PHI,13.0
2023,PRESEASON WEEK 3,FINAL,Friday,August 25th,DET,26.0,CAR,17.0
2023,PRESEASON WEEK 3,FINAL,Friday,August 25th,NE,7.0,TEN,23.0
2023,PRESEASON WEEK 3,FINAL,Friday,August 25th,LAC,23.0,SF,12.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,SEA,15.0,GB,19.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,ARI,18.0,MIN,17.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,CLE,32.0,KC,33.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,BUF,24.0,CHI,21.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,NYJ,32.0,NYG,24.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,CIN,19.0,WAS,21.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,BAL,20.0,TB,26.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,MIA,18.0,JAX,31.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,LV,16.0,DAL,31.0
2023,PRESEASON WEEK 3,FINAL,Saturday,August 26th,LAR,0.0,DEN,41.0
2023,PRESEASON WEEK 3,FINAL,Sunday,August 27th,HOU,17.0,NO,13.0
2023,WEEK 1,FINAL,Sunday Night Football,September 7th,DET,21.0,KC,20.0
2023,WEEK 1,FINAL,Sunday,September 10th,CAR,10.0,ATL,24.0
2023,WEEK 1,FINAL,Sunday,September 10th,HOU,9.0,BAL,25.0
2023,WEEK 1,FINAL,Sunday,September 10th,CIN,3.0,CLE,24.0
2023,WEEK 1,FINAL,Sunday,September 10th,JAX,31.0,IND,21.0
2023,WEEK 1,FINAL,Sunday,September 10th,TB,20.0,MIN,17.0
2023,WEEK 1,FINAL,Sunday,September 10th,TEN,15.0,NO,16.0
2023,WEEK 1,FINAL,Sunday,September 10th,SF,30.0,PIT,7.0
2023,WEEK 1,FINAL,Sunday,September 10th,ARI,16.0,WAS,20.0
2023,WEEK 1,FINAL,Sunday,September 10th,GB,38.0,CHI,20.0
2023,WEEK 1,FINAL,Sunday,September 10th,LV,17.0,DEN,16.0
2023,WEEK 1,FINAL,Sunday,September 10th,MIA,36.0,LAC,34.0
2023,WEEK 1,FINAL,Sunday,September 10th,PHI,25.0,NE,20.0
2023,WEEK 1,FINAL,Sunday,September 10th,LAR,30.0,SEA,13.0
2023,WEEK 1,FINAL,Sunday Night Football,September 10th,DAL,40.0,NYG,0.0
2023,WEEK 1,FINAL,Monday Night Football,September 11th,BUF,16.0,NYJ,22.0
2023,WEEK 2,FINAL,Thursday Night Football,September 14th,MIN,28.0,PHI,34.0
2023,WEEK 2,FINAL,Sunday,September 17th,GB,24.0,ATL,25.0
2023,WEEK 2,FINAL,Sunday,September 17th,LV,10.0,BUF,38.0
2023,WEEK 2,FINAL,Sunday,September 17th,BAL,27.0,CIN,24.0
2023,WEEK 2,FINAL,Sunday,September 17th,SEA,37.0,DET,31.0
2023,WEEK 2,FINAL,Sunday,September 17th,IND,31.0,HOU,20.0
2023,WEEK 2,FINAL,Sunday,September 17th,KC,17.0,JAX,9.0
2023,WEEK 2,FINAL,Sunday,September 17th,CHI,17.0,TB,27.0
2023,WEEK 2,FINAL,Sunday,September 17th,LAC,24.0,TEN,27.0
2023,WEEK 2,FINAL,Sunday,September 17th,NYG,31.0,ARI,28.0
2023,WEEK 2,FINAL,Sunday,September 17th,SF,30.0,LAR,23.0
2023,WEEK 2,FINAL,Sunday,September 17th,NYJ,10.0,DAL,30.0
2023,WEEK 2,FINAL,Sunday,September 17th,WAS,35.0,DEN,33.0
2023,WEEK 2,FINAL,Sunday Night Football,September 17th,MIA,24.0,NE,17.0
2023,WEEK 2,FINAL,Monday Night Football,September 18th,NO,20.0,CAR,17.0
2023,WEEK 2,FINAL,Monday Night Football,September 18th,CLE,22.0,PIT,26.0
2023,WEEK 3,FINAL,Thursday Night Football,September 21st,NYG,12.0,SF,30.0
2023,WEEK 3,FINAL,Sunday,September 24th,IND,22.0,BAL,19.0
2023,WEEK 3,FINAL,Sunday,September 24th,TEN,3.0,CLE,27.0
2023,WEEK 3,FINAL,Sunday,September 24th,ATL,6.0,DET,20.0
2023,WEEK 3,FINAL,Sunday,September 24th,NO,17.0,GB,18.0
2023,WEEK 3,FINAL,Sunday,September 24th,HOU,37.0,JAX,17.0
2023,WEEK 3,FINAL,Sunday,September 24th,DEN,20.0,MIA,70.0
2023,WEEK 3,FINAL,Sunday,September 24th,LAC,28.0,MIN,24.0
2023,WEEK 3,FINAL,Sunday,September 24th,NE,15.0,NYJ,10.0
2023,WEEK 3,FINAL,Sunday,September 24th,BUF,37.0,WAS,3.0
2023,WEEK 3,FINAL,Sunday,September 24th,CAR,27.0,SEA,37.0
2023,WEEK 3,FINAL,Sunday,September 24th,DAL,16.0,ARI,28.0
2023,WEEK 3,FINAL,Sunday,September 24th,CHI,10.0,KC,41.0
2023,WEEK 3,FINAL,Sunday Night Football,September 24th,PIT,23.0,LV,18.0
2023,WEEK 3,FINAL,Monday Night Football,September 25th,PHI,25.0,TB,11.0
2023,WEEK 3,FINAL,Monday Night Football,September 25th,LAR,16.0,CIN,19.0
2023,WEEK 4,FINAL,Thursday Night Football,September 28th,DET,34.0,GB,20.0
2023,WEEK 4,FINAL,Sunday,October 1st,ATL,7.0,JAX,23.0
2023,WEEK 4,FINAL,Sunday,October 1st,MIA,20.0,BUF,48.0
2023,WEEK 4,FINAL,Sunday,October 1st,MIN,21.0,CAR,13.0
2023,WEEK 4,FINAL,Sunday,October 1st,DEN,31.0,CHI,28.0
2023,WEEK 4,FINAL,Sunday,October 1st,BAL,28.0,CLE,3.0
2023,WEEK 4,FINAL,Sunday,October 1st,PIT,6.0,HOU,30.0
2023,WEEK 4,FINAL,Sunday,October 1st,LAR,29.0,IND,23.0
2023,WEEK 4,FINAL,Sunday,October 1st,TB,26.0,NO,9.0
2023,WEEK 4,FINAL,Sunday,October 1st,WAS,31.0,PHI,34.0
2023,WEEK 4,FINAL,Sunday,October 1st,CIN,3.0,TEN,27.0
2023,WEEK 4,FINAL,Sunday,October 1st,LV,17.0,LAC,24.0
2023,WEEK 4,FINAL,Sunday,October 1st,NE,3.0,DAL,38.0
2023,WEEK 4,FINAL,Sunday,October 1st,ARI,16.0,SF,35.0
2023,WEEK 4,FINAL,Sunday Night Football,October 1st,KC,23.0,NYJ,20.0
2023,WEEK 4,FINAL,Monday Night Football,October 2nd,SEA,24.0,NYG,3.0
2023,WEEK 5,FINAL,Thursday Night Football,October 5th,CHI,40.0,WAS,20.0
2023,WEEK 5,FINAL,Sunday,October 8th,JAX,25.0,BUF,20.0
2023,WEEK 5,FINAL,Sunday,October 8th,HOU,19.0,ATL,21.0
2023,WEEK 5,FINAL,Sunday,October 8th,CAR,24.0,DET,42.0
2023,WEEK 5,FINAL,Sunday,October 8th,TEN,16.0,IND,23.0
2023,WEEK 5,FINAL,Sunday,October 8th,NYG,16.0,MIA,31.0
2023,WEEK 5,FINAL,Sunday,October 8th,NO,34.0,NE,0.0
2023,WEEK 5,FINAL,Sunday,October 8th,BAL,10.0,PIT,17.0
2023,WEEK 5,FINAL,Sunday,October 8th,CIN,34.0,ARI,20.0
2023,WEEK 5,FINAL,Sunday,October 8th,PHI,23.0,LAR,14.0
2023,WEEK 5,FINAL,Sunday,October 8th,NYJ,31.0,DEN,21.0
2023,WEEK 5,FINAL,Sunday,October 8th,KC,27.0,MIN,20.0
2023,WEEK 5,FINAL,Sunday Night Football,October 8th,DAL,10.0,SF,42.0
2023,WEEK 5,FINAL,Monday Night Football,October 9th,GB,13.0,LV,17.0
2023,WEEK 5,BYE,,,CLE,,,
2023,WEEK 5,BYE,,,LAC,,,
2023,WEEK 5,BYE,,,SEA,,,
2023,WEEK 5,BYE,,,TB,,,
2023,WEEK 6,FINAL,Thursday Night Football,October 12th,DEN,8.0,KC,19.0
2023,WEEK 6,FINAL,Sunday,October 15th,BAL,24.0,TEN,16.0
2023,WEEK 6,FINAL,Sunday,October 15th,WAS,24.0,ATL,16.0
