Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,1,Denver Broncos,1,1,0,Kickoff from DEN 35,,Kickoff,"— M.Prater kicks 65 yards from DEN 35 to end zone, Touchback."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,1,Denver Broncos,1,2,0,5 Yard Run,1st & 10 at BAL 20,15:00 1st,— R.Rice right tackle to BAL 25 for 5 yards (V.Miller).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,1,Denver Broncos,1,3,0,5 Yard Pass,2nd & 5 at BAL 25,14:27 1st,— J.Flacco pass short left to A.Boldin to BAL 30 for 5 yards (C.Harris).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,1,Denver Broncos,1,4,0,8 Yard Run,1st & 10 at BAL 30,13:50 1st,— R.Rice up the middle to BAL 38 for 8 yards (R.Moore).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,1,Denver Broncos,1,5,0,Pass Incomplete,2nd & 2 at BAL 38,13:13 1st,— J.Flacco pass incomplete deep right to A.Boldin (C.Harris).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,1,Denver Broncos,1,6,0,0 Yard Run,3rd & 2 at BAL 38,13:07 1st,— R.Rice right tackle to BAL 38 for no gain (V.Miller).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,1,Denver Broncos,1,7,1,Touchdown,4th & 2 at BAL 38,12:32 1st,"— S.Koch punts 52 yards to DEN 10, Center-M.Cox. T.Holliday for 90 yards, TOUCHDOWN."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,2,Baltimore Ravens,1,1,0,Kickoff from DEN 35,,Kickoff,"— M.Prater kicks 70 yards from DEN 35 to BAL -5. J.Jones MUFFS catch, and recovers at BAL 3. J.Jones to BAL 6 for 3 yards (S.Johnson)."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,2,Baltimore Ravens,1,2,0,2 Yard Run,1st & 10 at BAL 6,12:09 1st,— B.Pierce up the middle to BAL 8 for 2 yards (V.Miller).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,2,Baltimore Ravens,1,3,0,Pass Incomplete,2nd & 8 at BAL 8,11:31 1st,— J.Flacco pass incomplete short left to E.Dickson.
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,2,Baltimore Ravens,1,4,0,25 Yard Penalty,3rd & 8 at BAL 8,11:26 1st Shotgun,"— J.Flacco pass incomplete deep right to T.Doss. PENALTY on DEN-T.Carter, Defensive Pass Interference, 25 yards, enforced at BAL 8 - No Play."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,2,Baltimore Ravens,1,5,0,8 Yard Pass,1st & 10 at BAL 33,11:20 1st,— J.Flacco pass short left to A.Boldin to BAL 41 for 8 yards (W.Woodyard).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,2,Baltimore Ravens,1,6,1,Touchdown,2nd & 2 at BAL 41,10:39 1st Shotgun,"— J.Flacco pass deep right to T.Smith for 59 yards, TOUCHDOWN."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,2,Baltimore Ravens,1,7,1,Extra Point,,10:31 1st,"— J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,3,Baltimore Ravens,1,1,0,Kickoff from BAL 35,,Kickoff,— J.Tucker kicks 63 yards from BAL 35 to DEN 2. T.Holliday to DEN 25 for 23 yards (S.Considine).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,3,Baltimore Ravens,1,2,0,4 Yard Run,1st & 10 at DEN 25,10:24 1st Shotgun,— K.Moreno left guard to DEN 29 for 4 yards (T.Suggs).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,3,Baltimore Ravens,1,3,0,Pass Incomplete,2nd & 6 at DEN 29,10:02 1st Shotgun,— P.Manning pass incomplete short left to D.Thomas.
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,3,Baltimore Ravens,1,4,1,Touchdown,3rd & 6 at DEN 29,09:58 1st Shotgun,"— P.Manning pass short right intended for E.Decker INTERCEPTED by C.Graham (C.Brown) at DEN 39. C.Graham for 39 yards, TOUCHDOWN."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,4,Denver Broncos,1,1,0,Kickoff from BAL 35,,Kickoff,— J.Tucker kicks 70 yards from BAL 35 to DEN -5. T.Holliday to DEN 26 for 31 yards (J.Bynes).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,4,Denver Broncos,1,2,0,-1 Yard Run,1st & 10 at DEN 26,09:42 1st,— K.Moreno right tackle to DEN 25 for -1 yards (P.Kruger).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,4,Denver Broncos,1,3,0,-5 Yard Penalty,2nd & 11 at DEN 25,09:18 1st Shotgun,"— P.Manning pass short left to J.Dreessen to DEN 33 for 8 yards (C.Graham). PENALTY on DEN, Ineligible Downfield Pass, 5 yards, enforced at DEN 25 - No Play."
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,4,Denver Broncos,1,4,0,9 Yard Pass,2nd & 16 at DEN 20,08:55 1st Shotgun,— P.Manning pass short left to J.Dreessen to DEN 29 for 9 yards (T.Suggs).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,4,Denver Broncos,1,5,0,21 Yard Pass,3rd & 7 at DEN 29,08:24 1st Shotgun,— P.Manning pass short right to J.Tamme to 50 for 21 yards (C.Williams).
2012,DIVISIONAL PLAYOFFS,Saturday,January 12th,BAL,DEN,1st Quarter,4,Denver Broncos,1,6,0,1 Yard Run,1st & 10 at 50,07:41 1st Shotgun,— K.Moreno up the middle to BAL 49 for 1 yard (D.Ellerbe).
