Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,1,0,Kickoff from IND 35,,Kickoff,— P.McAfee kicks 70 yards from IND 35 to KC -5. Q.Demps to KC 18 for 23 yards (J.McNary; S.Havili).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,2,0,5 Yard Run,1st & 10 at KC 18,14:55 1st Run formation,— J.Charles right end to KC 23 for 5 yards (C.Redding).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,3,0,6 Yard Run,2nd & 5 at KC 23,14:19 1st Run formation,— J.Charles left end to KC 29 for 6 yards (K.Sheppard).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,4,0,12 Yard Pass,1st & 10 at KC 29,13:38 1st Run formation,— A.Smith pass short left to D.Bowe to KC 41 for 12 yards (V.Davis).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,5,0,4 Yard Pass,1st & 10 at KC 41,13:02 1st,— A.Smith pass short left to K.Davis to KC 45 for 4 yards (L.Landry).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,6,0,16 Yard Run,2nd & 6 at KC 45,12:21 1st Shotgun,— A.Smith scrambles right end to IND 39 for 16 yards (J.Chapman).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,7,0,7 Yard Run,1st & 10 at IND 39,11:40 1st Run formation,— J.Charles right end to IND 32 for 7 yards (G.Toler). KC-J.Charles was injured during the play. His return is Questionable.
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,8,0,6 Yard Run,2nd & 3 at IND 32,11:20 1st Run formation,— K.Davis right end pushed ob at IND 26 for 6 yards (A.Bethea).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,9,0,5 Yard Pass,1st & 10 at IND 26,10:52 1st Shotgun,— A.Smith pass short left to D.McCluster ran ob at IND 21 for 5 yards (J.McNary).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,10,0,5 Yard Run,2nd & 5 at IND 21,10:26 1st Run formation,— K.Davis up the middle to IND 16 for 5 yards (G.Toler).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,11,0,7 Yard Pass,1st & 10 at IND 16,09:47 1st Shotgun,— A.Smith pass short right to D.McCluster to IND 9 for 7 yards (J.Freeman).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,12,0,3 Yard Run,2nd & 3 at IND 9,09:10 1st Shotgun,— K.Davis up the middle to IND 6 for 3 yards (K.Conner; L.Landry).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,13,0,Pass Incomplete,1st & 6 at IND 6,08:26 1st,— A.Smith pass incomplete short left to J.Hemingway.
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,14,0,Pass Incomplete,2nd & 6 at IND 6,08:22 1st Run formation,— A.Smith pass incomplete short left to D.Avery [E.Walden].
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,15,1,Touchdown,3rd & 6 at IND 6,08:15 1st Shotgun,"— A.Smith pass short middle to D.Bowe for 6 yards, TOUCHDOWN."
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,1,Kansas City Chiefs,1,16,1,Extra Point,,08:11 1st,"— R.Succop extra point is GOOD, Center-T.Gafford, Holder-D.Colquitt."
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,2,Indianapolis Colts,1,1,0,Kickoff from KC 35,,Kickoff,— R.Succop kicks 70 yards from KC 35 to IND -5. L.Brazill to IND 26 for 31 yards (Q.Demps).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,2,Indianapolis Colts,1,2,0,12 Yard Pass,1st & 10 at IND 26,08:06 1st Shotgun,— A.Luck pass short middle to T.Hilton to IND 38 for 12 yards (K.Lewis).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,2,Indianapolis Colts,1,3,0,5 Yard Pass,1st & 10 at IND 38,"07:31 1st No Huddle, Shotgun",— A.Luck pass short right to T.Hilton ran ob at IND 43 for 5 yards.
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,2,Indianapolis Colts,1,4,0,24 Yard Pass,2nd & 5 at IND 43,"07:01 1st No Huddle, Shotgun",— A.Luck pass short right to T.Hilton pushed ob at KC 33 for 24 yards (K.Lewis).
2013,WILD CARD WEEKEND,Saturday,January 4th,KC,IND,1st Quarter,2,Indianapolis Colts,1,5,0,0 Yard Pass,1st & 10 at KC 33,"06:36 1st No Huddle, Shotgun",— A.Luck pass short left to L.Brazill to KC 33 for no gain (H.Abdullah).
