Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,1,0,Kickoff from GB 35,,Kickoff,— M.Crosby kicks 68 yards from GB 35 to ATL -3. E.Weems to ATL 20 for 23 yards (K.Brice). GB-K.Brice was injured during the play. His return is Questionable.
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,2,0,4 Yard Run,1st & 10 at ATL 20,14:56 1st,— D.Freeman right end to ATL 24 for 4 yards (M.Daniels).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,3,0,8 Yard Pass,2nd & 6 at ATL 24,14:22 1st,— M.Ryan pass short left to A.Hooper pushed ob at ATL 32 for 8 yards (M.Hyde).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,4,0,Pass Incomplete,1st & 10 at ATL 32,14:01 1st,— M.Ryan pass incomplete deep right to T.Gabriel.
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,5,0,4 Yard Pass,2nd & 10 at ATL 32,13:56 1st Shotgun,— M.Ryan pass short middle to J.Jones to ATL 36 for 4 yards (J.Ryan).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,6,0,6 Yard Pass,3rd & 6 at ATL 36,13:14 1st Shotgun,— M.Ryan pass short left to J.Jones to ATL 42 for 6 yards (L.Gunter) [C.Matthews].
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,7,0,10 Yard Run,1st & 10 at ATL 42,12:34 1st,— T.Coleman right guard to GB 48 for 10 yards (M.Burnett).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,8,0,-1 Yard Run,1st & 10 at GB 48,12:01 1st,— T.Coleman right guard to GB 49 for -1 yards (N.Perry).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,9,0,Pass Incomplete,2nd & 11 at GB 49,11:15 1st Shotgun,— M.Ryan pass incomplete deep left to J.Jones (H.Clinton-Dix).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,10,0,13 Yard Pass,3rd & 11 at GB 49,11:10 1st Shotgun,— M.Ryan pass short middle to M.Sanu to GB 36 for 13 yards (M.Hyde).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,11,0,31 Yard Pass,1st & 10 at GB 36,10:29 1st,"— M.Ryan pass short right to P.DiMarco pushed ob at GB 5 for 31 yards (J.Ryan, M.Burnett)."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,12,0,2 Yard Run,1st & 5 at GB 5,09:56 1st,— T.Coleman right guard to GB 3 for 2 yards (J.Peppers).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,13,0,1 Yard Run,2nd & 3 at GB 3,09:16 1st Shotgun,— T.Coleman left guard to GB 2 for 1 yard (J.Peppers).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,14,1,Touchdown,3rd & 2 at GB 2,08:30 1st Shotgun,"— M.Ryan pass short left to M.Sanu for 2 yards, TOUCHDOWN. PENALTY on GB-H.Clinton-Dix, Unnecessary Roughness, 15 yards, enforced between downs. Penalty will be enforced before kickoff."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,1,Atlanta Falcons,1,15,1,Extra Point,,08:24 1st,"— M.Bryant extra point is GOOD, Center-J.Harris, Holder-M.Bosher."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,1,0,Kickoff from 50,,Kickoff,"— M.Bosher kicks 50 yards from 50 to end zone, Touchback."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,2,0,4 Yard Run,1st & 10 at GB 25,08:24 1st Shotgun,— T.Montgomery right guard to GB 29 for 4 yards (K.Neal; D.Freeney).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,3,0,27 Yard Pass,2nd & 6 at GB 29,07:44 1st Shotgun,— A.Rodgers pass deep left to J.Nelson pushed ob at ATL 44 for 27 yards (R.Allen).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,4,0,15 Yard Pass,1st & 10 at ATL 44,07:10 1st Shotgun,— A.Rodgers pass short right to J.Nelson to ATL 29 for 15 yards (B.Poole).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,5,0,6 Yard Pass,1st & 10 at ATL 29,06:28 1st Shotgun,— A.Rodgers pass short left to D.Adams to ATL 23 for 6 yards (R.Allen).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,6,0,Pass Incomplete,2nd & 4 at ATL 23,05:50 1st Shotgun,— A.Rodgers pass incomplete deep left to J.Cook [C.Upshaw].
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,7,0,Timeout,,05:44 1st,— Timeout #1 by GB at 05:44.
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,8,0,Pass Incomplete,3rd & 4 at ATL 23,05:44 1st Shotgun,— A.Rodgers pass incomplete short left [D.Jones].
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,2,Green Bay Packers,0,9,0,Field Goal No Good,4th & 4 at ATL 23,05:39 1st,"— M.Crosby 41 yard field goal is No Good, Wide Right, Center-B.Goode, Holder-J.Schum."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,1,0,-5 Yard Penalty,1st & 10 at ATL 31,05:35 1st,"— PENALTY on ATL-A.Levitre, False Start, 5 yards, enforced at ATL 31 - No Play."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,2,0,3 Yard Run,1st & 15 at ATL 26,05:35 1st,— D.Freeman right guard to ATL 29 for 3 yards (C.Matthews).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,3,0,16 Yard Pass,2nd & 12 at ATL 29,04:55 1st Shotgun,— M.Ryan pass deep right to M.Sanu to ATL 45 for 16 yards (M.Burnett).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,4,0,5 Yard Pass,1st & 10 at ATL 45,"04:11 1st No Huddle, Shotgun",— M.Ryan pass short middle to L.Toilolo to 50 for 5 yards (J.Thomas).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,5,0,-2 Yard Run,2nd & 5 at 50,03:37 1st,— D.Freeman left guard to ATL 48 for -2 yards (H.Clinton-Dix).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,6,0,15 Yard Pass,3rd & 7 at ATL 48,02:56 1st Shotgun,— M.Ryan pass short right to A.Hooper to GB 37 for 15 yards (L.Gunter).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,7,0,15 Yard Pass,1st & 10 at GB 37,02:20 1st No Huddle,— M.Ryan pass deep right to M.Sanu ran ob at GB 22 for 15 yards.
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,8,0,Pass Incomplete,1st & 10 at GB 22,01:48 1st,— M.Ryan pass incomplete short left to A.Robinson.
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,9,0,10 Yard Pass,2nd & 10 at GB 22,01:44 1st Shotgun,— M.Ryan pass short left to T.Coleman ran ob at GB 12 for 10 yards (H.Clinton-Dix).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,10,0,7 Yard Run,1st & 10 at GB 12,01:08 1st Shotgun,— Direct snap to M.Sanu. M.Sanu right guard to GB 5 for 7 yards (J.Thomas).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,11,0,Pass Incomplete,2nd & 3 at GB 5,00:29 1st No Huddle,— M.Ryan pass incomplete short left to M.Sanu.
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,12,0,-5 Yard Penalty,3rd & 3 at GB 5,00:26 1st Shotgun,"— PENALTY on ATL-A.Levitre, False Start, 5 yards, enforced at GB 5 - No Play."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,13,0,Pass Incomplete,3rd & 8 at GB 10,00:26 1st Shotgun,"— M.Ryan pass incomplete short left to J.Jones. Penalty on ATL-A.Mack, Offensive Holding, declined."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,1st Quarter,3,Atlanta Falcons,1,14,1,Field Goal,4th & 8 at GB 10,00:17 1st,"— M.Bryant 28 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,1,0,Kickoff from ATL 35,,Kickoff,"— M.Bosher kicks 65 yards from ATL 35 to end zone, Touchback."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,2,0,2 Yard Pass,1st & 10 at GB 25,00:14 1st Shotgun,"— A.Rodgers pass short left to T.Montgomery to GB 27 for 2 yards (J.Collins, R.Allen)."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,3,0,17 Yard Pass,2nd & 8 at GB 27,15:00 2nd,"— A.Rodgers pass short left to R.Cobb to GB 44 for 17 yards (D.Jones, R.Allen)."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,4,0,22 Yard Pass,1st & 10 at GB 44,14:20 2nd Shotgun,— A.Rodgers pass deep middle to R.Cobb to ATL 34 for 22 yards (B.Poole; D.Jones).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,5,0,3 Yard Run,1st & 10 at ATL 34,13:42 2nd Shotgun,— T.Montgomery left tackle to ATL 31 for 3 yards (D.Jones).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,6,0,3 Yard Pass,2nd & 7 at ATL 31,13:01 2nd Shotgun,— A.Rodgers pass short left to C.Michael to ATL 28 for 3 yards (D.Campbell).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,7,0,5 Yard Pass,3rd & 4 at ATL 28,11:50 2nd Shotgun,— A.Rodgers pass short middle to J.Cook to ATL 23 for 5 yards (K.Neal).
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,1,Green Bay Packers,0,8,0,Fumble,1st & 10 at ATL 23,11:11 2nd Shotgun,"— A.Ripkowski left guard to ATL 11 for 12 yards (J.Collins). FUMBLES (J.Collins), RECOVERED by ATL-J.Collins at ATL 0. Touchback (B.Bulaga)."
2016,CONFERENCE CHAMPIONSHIPS,Sunday,January 22nd,GB,ATL,2nd Quarter,2,Atlanta Falcons,1,1,0,17 Yard Pass,1st & 10 at ATL 20,10:59 2nd,— M.Ryan pass deep middle to J.Jones to ATL 37 for 17 yards (L.Gunter) [N.Perry].
