Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,1,0,Kickoff from ATL 35,,Kickoff,— M.Bosher kicks 68 yards from ATL 35 to MIA -3. D.Williams to MIA 12 for 15 yards (E.Weems).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,2,0,22 Yard Run,1st & 10 at MIA 12,14:57 1st Shotgun,— R.Tannehill up the middle to MIA 34 for 22 yards (R.Allen).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,3,0,6 Yard Pass,1st & 10 at MIA 34,"14:34 1st No Huddle, Shotgun",— R.Tannehill pass short right to J.Cameron to MIA 40 for 6 yards (K.Neal).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,4,0,6 Yard Pass,2nd & 4 at MIA 40,14:04 1st No Huddle,— R.Tannehill pass short right to J.Ajayi to MIA 46 for 6 yards (K.Neal).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,5,0,5 Yard Run,1st & 10 at MIA 46,13:32 1st No Huddle,— J.Ajayi right tackle to ATL 49 for 5 yards (K.Neal).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,6,0,0 Yard Run,2nd & 5 at ATL 49,13:05 1st No Huddle,— J.Ajayi right tackle to ATL 49 for no gain (G.Jarrett; D.Jones).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,7,0,8 Yard Pass,3rd & 5 at ATL 49,"12:26 1st No Huddle, Shotgun",— R.Tannehill pass short right to K.Stills ran ob at ATL 41 for 8 yards.
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,1,Miami Dolphins,0,8,0,Interception,1st & 10 at ATL 41,"12:04 1st No Huddle, Shotgun",— R.Tannehill pass deep middle intended for K.Stills INTERCEPTED by D.Trufant (B.Reed) at ATL 24. D.Trufant to ATL 24 for no gain (J.Cameron).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,2,Atlanta Falcons,0,1,0,4 Yard Pass,1st & 10 at ATL 24,11:55 1st,— M.Ryan pass short middle to D.Freeman to ATL 28 for 4 yards (K.Alonso).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,2,Atlanta Falcons,0,2,0,17 Yard Pass,2nd & 6 at ATL 28,11:22 1st,— M.Ryan pass short middle to J.Jones to ATL 45 for 17 yards (R.Jones).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,2,Atlanta Falcons,0,3,0,1 Yard Run,1st & 10 at ATL 45,10:50 1st No Huddle,— D.Freeman right tackle to ATL 46 for 1 yard (N.Suh; K.Misi).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,2,Atlanta Falcons,0,4,0,0 Yard Run,2nd & 9 at ATL 46,10:12 1st,— D.Freeman up the middle to ATL 46 for no gain (K.Misi).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,2,Atlanta Falcons,0,5,0,Pass Incomplete,3rd & 9 at ATL 46,09:28 1st Shotgun,— M.Ryan pass incomplete short left to J.Jones [C.Wake].
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,2,Atlanta Falcons,0,6,0,Punt,4th & 9 at ATL 46,09:22 1st,"— M.Bosher punts 39 yards to MIA 15, Center-J.Harris, fair catch by J.Grant."
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,1,0,-4 Yard Run,1st & 10 at MIA 15,09:15 1st,— J.Ajayi left end to MIA 11 for -4 yards (K.Neal).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,2,0,5 Yard Pass,2nd & 14 at MIA 11,08:43 1st Shotgun,— R.Tannehill pass short right to D.Parker to MIA 16 for 5 yards (D.Jones).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,3,0,11 Yard Pass,3rd & 9 at MIA 16,"08:03 1st No Huddle, Shotgun",— R.Tannehill pass short left to J.Landry to MIA 27 for 11 yards (K.Neal).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,4,0,-10 Yard Penalty,1st & 10 at MIA 27,"07:30 1st No Huddle, Shotgun","— R.Tannehill pass short right to K.Stills to MIA 32 for 5 yards (B.Poole). PENALTY on MIA-J.Landry, Offensive Pass Interference, 10 yards, enforced at MIA 27 - No Play."
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,5,0,4 Yard Run,1st & 20 at MIA 17,07:12 1st,— J.Ajayi up the middle to MIA 21 for 4 yards (D.Jones; D.Campbell).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,6,0,Pass Incomplete,2nd & 16 at MIA 21,06:42 1st Shotgun,— R.Tannehill pass incomplete short right to K.Stills (D.Trufant) [D.Jones].
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,7,0,Pass Incomplete,3rd & 16 at MIA 21,"06:34 1st No Huddle, Shotgun",— R.Tannehill pass incomplete short right to J.Cameron.
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,3,Miami Dolphins,0,8,0,Punt,4th & 16 at MIA 21,06:29 1st Punt formation,"— M.Darr punts 44 yards to ATL 35, Center-J.Denney. E.Weems to ATL 40 for 5 yards (B.McCain; M.Hull)."
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,4,Atlanta Falcons,0,1,0,3 Yard Run,1st & 10 at ATL 40,06:21 1st,— T.Coleman left tackle to ATL 43 for 3 yards (N.Suh).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,4,Atlanta Falcons,0,2,0,-5 Yard Pass,2nd & 7 at ATL 43,05:52 1st,— M.Ryan pass short left to T.Coleman to ATL 38 for -5 yards (J.Jenkins; N.Suh).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,4,Atlanta Falcons,0,3,0,11 Yard Pass,3rd & 12 at ATL 38,05:16 1st Shotgun,— M.Ryan pass short left to J.Hardy to ATL 49 for 11 yards (B.Maxwell).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,1st Quarter,4,Atlanta Falcons,0,4,0,Turnover on Downs,4th & 1 at ATL 49,04:37 1st Run formation,— T.Coleman up the middle to ATL 48 for -1 yards (N.Suh).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,1,0,9 Yard Pass,1st & 10 at ATL 48,04:32 1st,— R.Tannehill pass short right to D.Sims to ATL 39 for 9 yards (P.Worrilow) [T.Jackson].
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,2,0,1 Yard Run,2nd & 1 at ATL 39,03:52 1st No Huddle,— A.Foster left tackle to ATL 38 for 1 yard (G.Jarrett).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,3,0,16 Yard Pass,1st & 10 at ATL 38,03:08 1st Shotgun,— R.Tannehill pass short left to A.Foster pushed ob at ATL 22 for 16 yards (R.Alford). ATL-K.Neal was injured during the play. His return is Questionable.
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,4,0,6 Yard Run,1st & 10 at ATL 22,02:54 1st,— A.Foster right end ran ob at ATL 16 for 6 yards (S.Weatherspoon).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,5,0,4 Yard Pass,2nd & 4 at ATL 16,"02:18 1st No Huddle, Shotgun",— R.Tannehill pass short right to J.Landry to ATL 12 for 4 yards (D.Parms).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,6,0,-4 Yard Run,1st & 10 at ATL 12,01:39 1st No Huddle,"— R.Tannehill Aborted. A.Steen FUMBLES at ATL 12, recovered by MIA-R.Tannehill at ATL 16. R.Tannehill to ATL 16 for no gain (S.Weatherspoon)."
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,7,0,2 Yard Run,2nd & 14 at ATL 16,00:57 1st Shotgun,— A.Foster up the middle to ATL 14 for 2 yards (P.Worrilow).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,8,0,9 Yard Pass,3rd & 12 at ATL 14,"00:23 1st No Huddle, Shotgun",— R.Tannehill pass short right to K.Stills to ATL 5 for 9 yards (D.Trufant).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,9,0,4 Yard Pass,4th & 3 at ATL 5,15:00 2nd Shotgun,— R.Tannehill pass short right to A.Foster to ATL 1 for 4 yards (P.Worrilow).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,10,0,-1 Yard Run,1st & 1 at ATL 1,14:46 2nd,— A.Foster right guard to ATL 2 for -1 yards (S.Weatherspoon).
2016,PRESEASON WEEK 3,Thursday,August 25th,ATL,MIA,2nd Quarter,1,Miami Dolphins,1,11,0,Pass Incomplete,2nd & 2 at ATL 2,13:58 2nd,— R.Tannehill pass incomplete short right to J.Cameron.
