Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,1,0,Kickoff from MIN 35,,Kickoff,"— K.Forbath kicks 65 yards from MIN 35 to end zone, Touchback."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,2,0,4 Yard Pass,1st & 10 at DET 25,15:00 1st Shotgun,— M.Stafford pass short left to G.Tate to DET 29 for 4 yards (C.Greenway).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,3,0,3 Yard Run,2nd & 6 at DET 29,14:25 1st,— T.Riddick up the middle to DET 32 for 3 yards (A.Cole).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,4,0,5 Yard Pass,3rd & 3 at DET 32,13:44 1st Shotgun,— M.Stafford pass short left to A.Boldin to DET 37 for 5 yards (E.Kendricks) [E.Griffen].
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,5,0,2 Yard Run,1st & 10 at DET 37,13:05 1st,— T.Riddick left tackle to DET 39 for 2 yards (A.Barr).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,6,0,12 Yard Run,2nd & 8 at DET 39,12:20 1st Shotgun,— T.Riddick up the middle to MIN 49 for 12 yards (H.Smith).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,7,0,20 Yard Pass,1st & 10 at MIN 49,11:37 1st,— M.Stafford pass short left to M.Jones pushed ob at MIN 29 for 20 yards (H.Smith) [L.Joseph].
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,8,0,5 Yard Run,1st & 10 at MIN 29,11:03 1st Shotgun,— D.Washington left tackle to MIN 24 for 5 yards (A.Barr).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,9,0,7 Yard Pass,2nd & 5 at MIN 24,10:20 1st Shotgun,— M.Stafford pass short right to M.Jones to MIN 17 for 7 yards (X.Rhodes).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,10,0,1 Yard Run,1st & 10 at MIN 17,09:35 1st Shotgun,— T.Riddick up the middle to MIN 16 for 1 yard (S.Stephen).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,11,0,6 Yard Run,2nd & 9 at MIN 16,08:53 1st Shotgun,— M.Stafford scrambles left tackle to MIN 10 for 6 yards (C.Greenway).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,12,0,8 Yard Pass,3rd & 3 at MIN 10,08:04 1st Shotgun,— M.Stafford pass short middle to A.Boldin to MIN 2 for 8 yards (A.Sendejo).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,13,1,Touchdown,1st & 2 at MIN 2,07:20 1st Shotgun,"— M.Stafford pass short right to A.Boldin for 2 yards, TOUCHDOWN."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,1,Detroit Lions,1,14,1,Extra Point,,07:14 1st,"— M.Prater extra point is GOOD, Center-D.Muhlbach, Holder-S.Martin."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,1,0,Kickoff from DET 35,,Kickoff,"— S.Martin kicks 65 yards from DET 35 to end zone, Touchback."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,2,0,5 Yard Pass,1st & 10 at MIN 25,07:14 1st Shotgun,— S.Bradford pass short right to K.Rudolph to MIN 30 for 5 yards (J.Bynes).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,3,0,5 Yard Run,2nd & 5 at MIN 30,06:41 1st,— J.McKinnon up the middle to MIN 35 for 5 yards (A.Robinson).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,4,0,5 Yard Pass,1st & 10 at MIN 35,06:03 1st Shotgun,— S.Bradford pass short left to C.Patterson to MIN 40 for 5 yards (Q.Diggs).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,5,0,8 Yard Pass,2nd & 5 at MIN 40,05:24 1st Shotgun,— S.Bradford pass short right to A.Thielen pushed ob at MIN 48 for 8 yards (T.Wilson).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,6,0,18 Yard Pass,1st & 10 at MIN 48,04:52 1st Shotgun,— S.Bradford pass short middle to K.Rudolph to DET 34 for 18 yards (Q.Diggs) [K.Hyder].
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,7,0,1 Yard Run,1st & 10 at DET 34,04:20 1st Shotgun,— J.McKinnon up the middle to DET 33 for 1 yard (T.Wilson).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,8,0,6 Yard Pass,2nd & 9 at DET 33,03:41 1st Shotgun,— S.Bradford pass short right to A.Thielen to DET 27 for 6 yards (T.Wilson).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,9,0,5 Yard Penalty,3rd & 3 at DET 27,03:00 1st Shotgun,"— S.Bradford pass incomplete short left to K.Rudolph [E.Ansah]. PENALTY on DET-N.Lawson, Defensive Holding, 5 yards, enforced at DET 27 - No Play."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,10,0,2 Yard Run,1st & 10 at DET 22,02:55 1st,— J.McKinnon up the middle to DET 20 for 2 yards (H.Ngata).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,11,0,Pass Incomplete,2nd & 8 at DET 20,02:13 1st Shotgun,"— S.Bradford sacked at DET 26 for -6 yards (E.Ansah). FUMBLES (E.Ansah) [E.Ansah], RECOVERED by DET-H.Ngata at DET 30. H.Ngata to DET 45 for 15 yards (A.Boone). The Replay Official reviewed the fumble ruling, and the play was REVERSED. (Shotgun) S.Bradford pass incomplete short left [E.Ansah]."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,12,0,5 Yard Penalty,3rd & 8 at DET 20,02:10 1st Shotgun,"— S.Bradford pass short right intended for L.Treadwell INTERCEPTED by G.Quin (D.Slay) at DET 10. G.Quin pushed ob at MIN 19 for 71 yards (M.Asiata). PENALTY on DET-D.Slay, Defensive Pass Interference, 5 yards, enforced at DET 20 - No Play."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,13,0,1 Yard Run,1st & 10 at DET 15,01:57 1st,— N.Easton reported in as eligible. J.McKinnon right tackle to DET 14 for 1 yard (T.Wilson; A.Williams).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,14,0,9 Yard Pass,2nd & 9 at DET 14,01:17 1st Shotgun,— S.Bradford pass short left to K.Rudolph pushed ob at DET 5 for 9 yards (Q.Diggs).
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,15,1,Touchdown,1st & 5 at DET 5,00:44 1st,"— M.Asiata left tackle for 5 yards, TOUCHDOWN."
2016,WEEK 12,Thursday,November 24th,MIN,DET,1st Quarter,2,Minnesota Vikings,1,16,1,Extra Point,,00:40 1st,"— K.Forbath extra point is GOOD, Center-K.McDermott, Holder-J.Locke."
2016,WEEK 12,Thursday,November 24th,MIN,DET,2nd Quarter,1,Detroit Lions,0,1,0,Kickoff from MIN 35,,Kickoff,— K.Forbath kicks 70 yards from MIN 35 to DET -5. A.Roberts to DET 20 for 25 yards (J.Trattou).
2016,WEEK 12,Thursday,November 24th,MIN,DET,2nd Quarter,1,Detroit Lions,0,2,0,5 Yard Pass,1st & 10 at DET 20,00:33 1st Shotgun,— M.Stafford pass short right to A.Roberts to DET 25 for 5 yards (T.Waynes). MIN-T.Waynes was injured during the play.
