Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,1,0,Kickoff,C.Santos kicks 60 yards from CHI 35 to HOU 5. S.Sims to HOU 26 for 21 yards (Q.Johnson; C.Johnson).,Kickoff from CHI 35
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,2,0,6 Yard Pass,(14:55) D.Mills pass short right to X.Hutchinson to HOU 32 for 6 yards (M.Baskerville; P.Moala).,1st & 10 at HOU 26
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,3,0,8 Yard Run,(14:21) D.Ogunbowale right guard to HOU 40 for 8 yards (T.Moore).,2nd & 4 at HOU 32
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,4,0,Pass Incomplete,(13:47) D.Mills pass incomplete short middle to X.Hutchinson.,1st & 10 at HOU 40
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,5,0,12 Yard Pass,(13:43) (Shotgun) D.Mills pass short right to T.Quitoriano to CHI 48 for 12 yards (A.Ogbongbemiga).,2nd & 10 at HOU 40
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,6,0,3 Yard Run,(13:07) D.Ogunbowale up the middle to CHI 45 for 3 yards (Z.Pickens).,1st & 10 at CHI 48
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,7,0,Pass Incomplete,(12:32) D.Mills pass incomplete short left to B.Skowronek.,2nd & 7 at CHI 45
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,8,0,6 Yard Pass,(12:27) (Shotgun) D.Mills pass short right to D.Ogunbowale to CHI 39 for 6 yards (A.Ogbongbemiga; J.Jones).,3rd & 7 at CHI 45
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,9,0,3 Yard Run,(11:51) D.Ogunbowale up the middle to CHI 36 for 3 yards (T.Moore).,4th & 1 at CHI 39
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,10,0,11 Yard Pass,(11:15) (Shotgun) D.Mills pass short right to C.Stover to CHI 25 for 11 yards (J.Jones; A.Ogbongbemiga).,1st & 10 at CHI 36
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,11,0,8 Yard Run,(10:41) X.Hutchinson left end pushed ob at CHI 17 for 8 yards (T.Smith).,1st & 10 at CHI 25
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,12,0,-2 Yard Run,(10:06) (Shotgun) D.Mills right tackle to CHI 19 for -2 yards (K.Kareem).,2nd & 2 at CHI 17
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,13,0,5 Yard Penalty,"(9:29) (Shotgun) D.Mills pass incomplete deep right to D.Ogunbowale.
PENALTY on CHI-M.Baskerville, Defensive Holding, 5 yards, enforced at CHI 19 - No Play.",3rd & 4 at CHI 19
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,14,0,5 Yard Run,(9:25) J.Taylor right tackle to CHI 9 for 5 yards (E.Hicks).,1st & 10 at CHI 14
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,15,0,Touchdown Texans,"(8:45) (Shotgun) D.Mills pass short right to T.Quitoriano for 9 yards, TOUCHDOWN.",2nd & 5 at CHI 9
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,1,HOU,1,16,1,Extra Point Good,"K.Fairbairn extra point is GOOD, Center-J.Weeks, Holder-T.Townsend.",XP attempt from CHI 15
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,1,0,Kickoff,K.Fairbairn kicks 58 yards from HOU 35 to CHI 7. T.Scott to CHI 26 for 19 yards (B.Brooks).,Kickoff from HOU 35
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,2,0,9 Yard Run,"(8:35) R.Johnson left tackle to CHI 35 for 9 yards (J.Hansen, C.Bullock).",1st & 10 at CHI 26
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,3,0,3 Yard Run,(8:03) R.Johnson left end pushed ob at CHI 38 for 3 yards (D.Ross).,2nd & 1 at CHI 35
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,4,0,Pass Incomplete,(7:32) T.Bagent pass incomplete short middle.,1st & 10 at CHI 38
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,5,0,7 Yard Pass,(7:27) T.Bagent pass short left to R.Johnson pushed ob at CHI 45 for 7 yards (D.Phillips; C.Bullock).,2nd & 10 at CHI 38
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,6,0,9 Yard Pass,(6:50) (Shotgun) T.Bagent pass short left to S.Carlson to HOU 46 for 9 yards (D.Ross).,3rd & 3 at CHI 45
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,7,0,4 Yard Run,(6:11) T.Scott right end to HOU 42 for 4 yards (M.Stewart).,1st & 10 at HOU 46
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,8,0,5 Yard Run,(5:32) (Shotgun) R.Johnson right guard to HOU 37 for 5 yards (M.Ford).,2nd & 6 at HOU 42
2024,Hall Of Fame,THU,08/01,Texans,Bears,1ST QUARTER,2,CHI,0,9,0,Run for No Gain,(4:55) R.Johnson right guard to HOU 37 for no gain (M.Agim).,3rd & 1 at HOU 37
