Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,1,Seattle Seahawks,0,1,0,Kickoff from SEA 35,,Kickoff,"— S.Hauschka kicks 71 yards from SEA 35 to DEN -6. T.Holliday to DEN 14 for 20 yards (D.Coleman, J.Lane)."
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,1,Seattle Seahawks,0,2,0,Safety,1st & 10 at DEN 14,14:53 1st Shotgun,"— P.Manning Aborted. M.Ramirez FUMBLES at DEN 14, recovered by DEN-K.Moreno at DEN -8. K.Moreno tackled in End Zone, SAFETY (C.Avril). Penalty on DEN-P.Manning, Illegal Motion, declined."
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,1,0,Kickoff from DEN 20,,Kickoff,"— B.Colquitt kicks 64 yards from DEN 20 to SEA 16. G.Tate to SEA 36 for 20 yards (B.Marshall, N.Irving)."
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,2,0,3 Yard Run,1st & 10 at SEA 36,14:43 1st,"— M.Lynch up the middle to SEA 39 for 3 yards (S.Williams, D.Trevathan)."
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,3,0,30 Yard Run,2nd & 7 at SEA 39,14:08 1st,— P.Harvin left end pushed ob at DEN 31 for 30 yards (D.Ihenacho). End around.
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,4,0,-5 Yard Penalty,1st & 10 at DEN 31,13:44 1st Shotgun,"— PENALTY on SEA-R.Okung, False Start, 5 yards, enforced at DEN 31 - No Play."
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,5,0,Pass Incomplete,1st & 15 at DEN 36,13:22 1st,— R.Wilson pass incomplete short right to Z.Miller.
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,6,0,6 Yard Pass,2nd & 15 at DEN 36,13:14 1st Shotgun,— R.Wilson pass short left to J.Kearse to DEN 30 for 6 yards (D.Ihenacho).
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,7,0,12 Yard Pass,3rd & 9 at DEN 30,12:34 1st Shotgun,— R.Wilson pass short middle to J.Kearse to DEN 18 for 12 yards (M.Adams).
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,8,0,-1 Yard Run,1st & 10 at DEN 18,12:01 1st,"— M.Lynch left tackle to DEN 19 for -1 yards (T.Knighton, J.Mincey)."
2013,SUPER BOWL,Sunday,February 2nd,SEA,DEN,1st Quarter,2,Seattle Seahawks,1,9,0,5 Yard Run,2nd & 11 at DEN 19,11:21 1st Shotgun,— R.Wilson left end pushed ob at DEN 14 for 5 yards (D.Ihenacho).
