Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,1,0,Kickoff from DET 35,,Kickoff,— S.Martin kicks 69 yards from DET 35 to GB -4. J.Janis to GB 18 for 22 yards (Q.Diggs).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,2,0,5 Yard Run,1st & 10 at GB 18,14:55 1st Shotgun,— J.Starks right tackle to GB 23 for 5 yards (T.Whitehead).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,3,0,6 Yard Run,2nd & 5 at GB 23,"14:33 1st No Huddle, Shotgun",— J.Starks up the middle to GB 29 for 6 yards (I.Abdul-Quddus).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,4,0,4 Yard Run,1st & 10 at GB 29,14:01 1st Shotgun,"— J.Starks right tackle to GB 33 for 4 yards (J.Jones, I.Abdul-Quddus)."
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,5,0,Pass Incomplete,2nd & 6 at GB 33,13:37 1st Shotgun,— A.Rodgers pass incomplete short right to J.Starks.
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,6,0,5 Yard Penalty,3rd & 6 at GB 33,13:31 1st Shotgun,"— PENALTY on DET-J.Jones, Neutral Zone Infraction, 5 yards, enforced at GB 33 - No Play."
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,7,0,-1 Yard Run,3rd & 1 at GB 38,13:31 1st Shotgun,— J.Starks left end to GB 37 for -1 yards (T.Whitehead).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,1,Green Bay Packers,0,8,0,Punt,4th & 2 at GB 37,13:01 1st,"— T.Masthay punts 31 yards to DET 32, Center-B.Goode, out of bounds."
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,1,0,12 Yard Run,1st & 10 at DET 32,12:52 1st,— A.Abdullah right tackle to DET 44 for 12 yards (Q.Rollins).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,2,0,1 Yard Pass,1st & 10 at DET 44,12:15 1st Shotgun,— M.Stafford pass short right to T.Riddick to DET 45 for 1 yard (S.Shields).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,3,0,20 Yard Pass,2nd & 9 at DET 45,11:33 1st Shotgun,— M.Stafford pass short middle to C.Johnson to GB 35 for 20 yards (M.Burnett).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,4,0,0 Yard Run,1st & 10 at GB 35,10:55 1st,— J.Bell left end to GB 35 for no gain (D.Jones).
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,5,0,7 Yard Pass,2nd & 10 at GB 35,10:10 1st Shotgun,— M.Stafford pass short middle to J.Bell to GB 28 for 7 yards (S.Shields; J.Ryan) [L.Guion].
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,6,0,-5 Yard Penalty,3rd & 3 at GB 28,09:23 1st Shotgun,"— PENALTY on DET-G.Tate, False Start, 5 yards, enforced at GB 28 - No Play."
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,7,0,Pass Incomplete,3rd & 8 at GB 33,08:58 1st Shotgun,— M.Stafford pass incomplete deep middle to C.Johnson.
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,2,Detroit Lions,1,8,1,Field Goal,4th & 8 at GB 33,08:53 1st,"— M.Prater 51 yard field goal is GOOD, Center-D.Muhlbach, Holder-S.Martin."
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,3,Green Bay Packers,0,1,0,Kickoff from DET 35,,Kickoff,"— S.Martin kicks 65 yards from DET 35 to end zone, Touchback."
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,3,Green Bay Packers,0,2,0,-6 Yard Pass,1st & 10 at GB 20,08:48 1st,"— A.Rodgers pass short left to J.Starks to DET 48 for 32 yards (G.Quin) [I.Abdul-Quddus]. PENALTY on GB-J.Sitton, Face Mask (15 Yards), 14 yards, enforced at GB 28."
2015,WEEK 13,Thursday,December 3rd,GB,DET,1st Quarter,3,Green Bay Packers,0,3,0,-2 Yard Run,1st & 16 at GB 14,08:16 1st Shotgun,"— J.Starks right end to GB 12 for -2 yards (D.Tapp). FUMBLES (D.Tapp), and recovers at GB 12. J.Starks to GB 12 for no gain (D.Slay)."
