Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,1,0,Kickoff from ATL 35,,Kickoff,"— M.Bosher kicks 70 yards from ATL 35 to SEA -5. D.Hester ran ob at SEA 26 for 31 yards (R.Alford). PENALTY on SEA-D.McDonald, Offensive Holding, 10 yards, enforced at SEA 21."
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,2,0,2 Yard Run,1st & 10 at SEA 11,14:55 1st,— R.Wilson scrambles right end to SEA 13 for 2 yards (B.Reed).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,3,0,9 Yard Run,2nd & 8 at SEA 13,14:20 1st,— T.Rawls right tackle to SEA 22 for 9 yards (G.Jarrett).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,4,0,7 Yard Run,1st & 10 at SEA 22,13:44 1st,"— T.Rawls left guard to SEA 29 for 7 yards (K.Neal, R.Allen)."
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,5,0,10 Yard Pass,2nd & 3 at SEA 29,13:01 1st Shotgun,— R.Wilson pass short right to M.Reece to SEA 39 for 10 yards (K.Neal).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,6,0,14 Yard Run,1st & 10 at SEA 39,12:25 1st,— R.Wilson scrambles left end to ATL 47 for 14 yards (B.Poole).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,7,0,0 Yard Run,1st & 10 at ATL 47,11:41 1st,— T.Rawls right guard to ATL 47 for no gain (J.Babineaux).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,8,0,3 Yard Run,2nd & 10 at ATL 47,11:04 1st Shotgun,— T.Rawls right guard to ATL 44 for 3 yards (D.Campbell). SEA-G.Ifedi was injured during the play.
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,9,0,18 Yard Pass,3rd & 7 at ATL 44,10:24 1st Shotgun,— R.Wilson pass deep left to D.Baldwin to ATL 26 for 18 yards (R.Alford).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,10,0,1 Yard Run,1st & 10 at ATL 26,09:44 1st,— D.Baldwin left end pushed ob at ATL 25 for 1 yard (D.Campbell).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,11,0,8 Yard Run,2nd & 9 at ATL 25,09:17 1st Shotgun,— T.Rawls right guard to ATL 17 for 8 yards (K.Neal; D.Jones).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,12,0,2 Yard Run,3rd & 1 at ATL 17,08:39 1st,— T.Rawls right tackle to ATL 15 for 2 yards (K.Neal).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,13,0,3 Yard Run,1st & 10 at ATL 15,08:02 1st Shotgun,— J.McKissic left tackle to ATL 12 for 3 yards (G.Jarrett).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,14,0,5 Yard Pass,2nd & 7 at ATL 12,07:16 1st Shotgun,— R.Wilson pass short left to J.McKissic to ATL 7 for 5 yards (K.Neal).
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,15,1,Touchdown,3rd & 2 at ATL 7,06:30 1st Shotgun,"— R.Wilson pass short left to J.Graham for 7 yards, TOUCHDOWN."
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,1st Quarter,1,Seattle Seahawks,1,16,1,Extra Point,,06:26 1st,"— S.Hauschka extra point is GOOD, Center-T.Ott, Holder-J.Ryan."
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,2nd Quarter,1,Atlanta Falcons,1,1,0,Kickoff from SEA 35,,Kickoff,"— S.Hauschka kicks 65 yards from SEA 35 to end zone, Touchback."
2016,DIVISIONAL PLAYOFFS,Saturday,January 14th,SEA,ATL,2nd Quarter,1,Atlanta Falcons,1,2,0,8 Yard Run,1st & 10 at ATL 25,06:26 1st,— D.Freeman left tackle to ATL 33 for 8 yards (K.Chancellor).
