Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,1,0,Kickoff from PHI 35,,Kickoff,"— C.Parkey kicks 65 yards from PHI 35 to end zone, Touchback."
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,2,0,Pass Incomplete,1st & 10 at PIT 25,15:00 1st,— L.Jones pass incomplete deep left to D.Heyward-Bey. Coverage #22 Carroll
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,3,0,7 Yard Run,2nd & 10 at PIT 25,14:54 1st,— F.Toussaint right guard to PIT 32 for 7 yards (M.Jenkins).
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,4,0,3 Yard Pass,3rd & 3 at PIT 32,14:08 1st Shotgun,— L.Jones pass short middle to E.Rogers to PIT 35 for 3 yards (R.Brooks).
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,5,0,0 Yard Run,1st & 10 at PIT 35,13:40 1st,— F.Toussaint up the middle to PIT 35 for no gain (C.Barwin).
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,6,0,-1 Yard Run,2nd & 10 at PIT 35,13:06 1st,"— F.Toussaint left guard to PIT 34 for -1 yards (N.Bradham, V.Curry)."
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,7,0,6 Yard Pass,3rd & 11 at PIT 34,12:27 1st Shotgun,— L.Jones pass short right to S.Coates to PIT 40 for 6 yards (L.McKelvin).
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,1,Pittsburgh Steelers,0,8,0,Punt,4th & 5 at PIT 40,11:54 1st Punt formation,"— J.Berry punts 51 yards to PHI 9, Center-G.Warren. K.Barner to PIT 47 for 44 yards (T.Matakevich). PENALTY on PHI-B.Countess, Illegal Block Above the Waist, 5 yards, enforced at PHI 10."
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,2,Philadelphia Eagles,0,1,0,1 Yard Run,1st & 10 at PHI 5,11:37 1st Shotgun,— R.Mathews right end to PHI 6 for 1 yard (S.Tuitt).
2016,PRESEASON WEEK 2,Thursday,August 18th,PHI,PIT,1st Quarter,2,Philadelphia Eagles,0,2,0,1 Yard Run,2nd & 9 at PHI 6,11:03 1st,— R.Mathews up the middle to PHI 7 for 1 yard (R.Shazier; S.Tuitt).
