Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,1,0,Kickoff from BUF 30,,Kickoff,— R.Lindell kicks 71 yards from BUF 30 to NYJ -1. B.Smith pushed ob at NYJ 37 for 38 yards (R.Lindell).
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,2,0,8 Yard Run,1st & 10 at NYJ 37,14:53 1st,"— L.Tomlinson up the middle to NYJ 45 for 8 yards (A.Ayodele, D.Whitner)."
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,3,0,3 Yard Run,2nd & 2 at NYJ 45,14:15 1st,— S.Greene left tackle to NYJ 48 for 3 yards (P.Posluszny).
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,4,0,5 Yard Run,1st & 10 at NYJ 48,13:30 1st,— L.Tomlinson up the middle to BUF 47 for 5 yards (R.Torbor).
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,5,0,Pass Incomplete,2nd & 5 at BUF 47,12:52 1st,"— M.Sanchez pass incomplete deep left to B.Edwards. Overthrown, receiver along sideline at BUF 25."
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,6,0,8 Yard Pass,3rd & 5 at BUF 47,12:46 1st Shotgun,"— M.Sanchez pass short right to D.Keller to BUF 39 for 8 yards (R.Corner). Flat pass, caught at BUF 42."
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,7,0,13 Yard Run,1st & 10 at BUF 39,12:07 1st,"— Wildcat, direct snap to B.Smith (M.Sanchez at WR). (Shotgun) L.Tomlinson left end to BUF 26 for 13 yards (P.Posluszny, J.Byrd)."
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,8,0,15 Yard Run,1st & 10 at BUF 26,11:24 1st,— L.Tomlinson right tackle pushed ob at BUF 11 for 15 yards (D.Whitner).
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,9,0,10 Yard Pass,1st & 10 at BUF 11,10:51 1st,"— M.Sanchez pass short right to L.Tomlinson to BUF 1 for 10 yards (J.Byrd). Flare pass, caught near sideline at BUF 10."
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,10,1,Touchdown,1st & 1 at BUF 1,10:45 1st,"— L.Tomlinson up the middle for 1 yard, TOUCHDOWN."
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,1,New York Jets,1,11,1,Extra Point,,10:42 1st,"— N.Folk extra point is GOOD, Center-T.Purdum, Holder-S.Weatherford."
2010,WEEK 4,Sunday,October 3rd,NYJ,BUF,1st Quarter,2,New York Jets,0,1,0,Fumble,,Kickoff,"— N.Folk kicks 35 yards from NYJ 30 to BUF 35. C.Ellis MUFFS catch, RECOVERED by NYJ-L.Laury at BUF 39. C.Ellis never gained control of ball, bobbled from BUF 35 to BUF 41."
