Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,1,0,Kickoff from DET 35,,Kickoff,"— S.Martin kicks 65 yards from DET 35 to end zone, Touchback."
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,2,0,0 Yard Run,1st & 10 at NE 20,15:00 1st,— S.Ridley up the middle to NE 20 for no gain (N.Suh).
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,3,0,5 Yard Penalty,2nd & 10 at NE 20,14:28 1st Shotgun,"— T.Brady pass incomplete short left to S.Ridley. PENALTY on DET-N.Fairley, Illegal Use of Hands, 5 yards, enforced at NE 20 - No Play."
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,4,0,-1 Yard Run,1st & 10 at NE 25,14:23 1st,— S.Ridley left tackle to NE 24 for -1 yards (L.Delmas).
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,5,0,37 Yard Pass,2nd & 11 at NE 24,13:43 1st,— T.Brady pass deep left to K.Thompkins pushed ob at DET 39 for 37 yards (D.Slay) [S.Tulloch].
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,6,0,4 Yard Pass,1st & 10 at DET 39,"13:35 1st No Huddle, Shotgun",— T.Brady pass short left to K.Thompkins pushed ob at DET 35 for 4 yards (D.Slay).
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,7,0,-1 Yard Run,2nd & 6 at DET 35,13:26 1st No Huddle,— S.Ridley right tackle to DET 36 for -1 yards (S.Tulloch).
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,8,0,8 Yard Pass,3rd & 7 at DET 36,12:46 1st Shotgun,— T.Brady pass short right to J.Edelman to DET 28 for 8 yards (C.Houston).
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,9,0,3 Yard Run,1st & 10 at DET 28,12:31 1st Shotgun,— S.Vereen up the middle to DET 25 for 3 yards (N.Fairley).
2013,PRESEASON WEEK 3,Thursday,August 22nd,NE,DET,1st Quarter,1,New England Patriots,0,10,0,-5 Yard Penalty,2nd & 7 at DET 25,12:11 1st,"— PENALTY on NE-L.Mankins, False Start, 5 yards, enforced at DET 25 - No Play."
