Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,1,0,Kickoff from CAR 35,,Kickoff,— G.Gano kicks 63 yards from CAR 35 to DEN 2. A.Caldwell to DEN 20 for 18 yards (F.Whittaker).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,2,0,18 Yard Pass,1st & 10 at DEN 20,14:56 1st,"— P.Manning pass short middle to O.Daniels to DEN 38 for 18 yards (R.Harper, K.Coleman) [J.Allen]. Caught at DEN 30. 8-yds YAC"
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,3,0,6 Yard Pass,1st & 10 at DEN 38,14:19 1st,— P.Manning pass short left to E.Sanders ran ob at DEN 44 for 6 yards. Caught at DEN 44. 0-yds YAC
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,4,0,Pass Incomplete,2nd & 4 at DEN 44,13:50 1st,— P.Manning pass incomplete short left to O.Daniels.
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,5,0,22 Yard Pass,3rd & 4 at DEN 44,13:46 1st Shotgun,"— P.Manning pass deep right to A.Caldwell to CAR 34 for 22 yards (T.Boston). Caught at CAR 36. 2-yds YAC Penalty on CAR-J.Norman, Defensive Holding, declined."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,6,0,8 Yard Run,1st & 10 at CAR 34,13:22 1st,— C.Anderson up the middle to CAR 26 for 8 yards (L.Kuechly; R.Harper).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,7,0,12 Yard Run,2nd & 2 at CAR 26,12:47 1st,"— C.Anderson left tackle to CAR 14 for 12 yards (S.Thompson, J.Norman)."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,8,0,-3 Yard Run,1st & 10 at CAR 14,12:07 1st,— R.Hillman right guard to CAR 17 for -3 yards (S.Thompson).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,9,0,Pass Incomplete,2nd & 13 at CAR 17,11:26 1st Shotgun,— P.Manning pass incomplete short right to R.Hillman (R.McClain).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,10,0,1 Yard Pass,3rd & 13 at CAR 17,11:22 1st Shotgun,— P.Manning pass short right to C.Anderson to CAR 16 for 1 yard (T.Davis). Caught at CAR 16. 0-yds YAC
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,1,Denver Broncos,1,11,1,Field Goal,4th & 12 at CAR 16,10:47 1st,"— B.McManus 34 yard field goal is GOOD, Center-A.Brewer, Holder-B.Colquitt."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,2,Carolina Panthers,0,1,0,Kickoff from DEN 35,,Kickoff,— B.McManus kicks 64 yards from DEN 35 to CAR 1. F.Whittaker to CAR 19 for 18 yards (S.Barrett).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,2,Carolina Panthers,0,2,0,2 Yard Run,1st & 10 at CAR 19,10:36 1st Shotgun,— J.Stewart right end to CAR 21 for 2 yards (D.Trevathan).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,2,Carolina Panthers,0,3,0,Pass Incomplete,2nd & 8 at CAR 21,09:54 1st No Huddle,— C.Newton pass incomplete short left to C.Brown.
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,2,Carolina Panthers,0,4,0,7 Yard Pass,3rd & 8 at CAR 21,09:50 1st Shotgun,— C.Newton pass short right to G.Olsen to CAR 28 for 7 yards (A.Talib). Officials to measure for 1st down - short. Caught at CAR 28. 0-yds YAC
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,2,Carolina Panthers,0,5,0,Punt,4th & 1 at CAR 28,09:27 1st,"— B.Nortman punts 47 yards to DEN 25, Center-J.Jansen, fair catch by E.Sanders."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,3,Denver Broncos,0,1,0,7 Yard Pass,1st & 10 at DEN 25,09:19 1st Shotgun,— P.Manning pass short left to E.Sanders to DEN 32 for 7 yards (L.Kuechly). Caught at DEN 24. 8-yds YAC
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,3,Denver Broncos,0,2,0,2 Yard Run,2nd & 3 at DEN 32,08:44 1st,"— C.Anderson left tackle to DEN 34 for 2 yards (L.Kuechly, T.Davis)."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,3,Denver Broncos,0,3,0,0 Yard Pass,3rd & 1 at DEN 34,08:08 1st Shotgun,— P.Manning pass short left to C.Anderson to DEN 34 for no gain (T.Davis; R.McClain). Caught at DEN 34. 0-yds YAC
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,3,Denver Broncos,0,4,0,Punt,4th & 1 at DEN 34,07:34 1st,"— B.Colquitt punts 50 yards to CAR 16, Center-A.Brewer. T.Ginn to CAR 15 for -1 yards (K.Webster)."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,4,Denver Broncos,1,1,0,Pass Incomplete,1st & 10 at CAR 15,07:23 1st Shotgun,"— C.Newton pass incomplete deep middle to J.Cotchery (D.Stewart). Carolina challenged the incomplete pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1 at 07:16.)"
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,4,Denver Broncos,1,2,0,0 Yard Run,2nd & 10 at CAR 15,07:16 1st Shotgun,— J.Stewart up the middle to CAR 15 for no gain (D.Wolfe). CAR-J.Stewart was injured during the play.
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,4,Denver Broncos,1,3,1,Touchdown,3rd & 10 at CAR 15,06:34 1st Shotgun,"— C.Newton sacked at CAR 4 for -11 yards (V.Miller). FUMBLES (V.Miller) [V.Miller], RECOVERED by DEN-M.Jackson at CAR -1. TOUCHDOWN. V.Miller credited with 15-yd sack."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,5,Carolina Panthers,0,1,0,Kickoff from DEN 35,,Kickoff,— B.McManus kicks 68 yards from DEN 35 to CAR -3. J.Webb to CAR 21 for 24 yards (C.Nelson).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,5,Carolina Panthers,0,2,0,15 Yard Run,1st & 10 at CAR 21,06:21 1st Shotgun,— F.Whittaker left end pushed ob at CAR 36 for 15 yards (T.Ward).
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,5,Carolina Panthers,0,3,0,2 Yard Run,1st & 10 at CAR 36,05:56 1st Shotgun,"— M.Tolbert left guard to CAR 38 for 2 yards (S.Ray). FUMBLES (S.Ray), and recovers at CAR 38. M.Tolbert to CAR 38 for no gain (S.Ray)."
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,5,Carolina Panthers,0,4,0,Pass Incomplete,2nd & 8 at CAR 38,05:15 1st Shotgun,— C.Newton pass incomplete short right to T.Ginn.
2015,SUPER BOWL,Sunday,February 7th,CAR,DEN,1st Quarter,5,Carolina Panthers,0,5,0,7 Yard Sack,3rd & 8 at CAR 38,05:10 1st Shotgun,"— C.Newton sacked at CAR 30 for -8 yards (D.Stewart). PENALTY on DEN-A.Talib, Taunting, 15 yards, enforced at CAR 30."
