Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,1,0,Kickoff from PIT 30,,Kickoff,"— S.Suisham kicks 73 yards from PIT 30 to BAL -3. L.Webb to BAL 49 for 52 yards (W.Allen). Pittsburgh challenged the runner was down by contact ruling, and the play was REVERSED. S.Suisham kicks 73 yards from PIT 30 to BAL -3. L.Webb to BAL 35 for 38 yards (S.Suisham)."
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,2,0,5 Yard Pass,1st & 10 at BAL 35,14:55 1st,— J.Flacco pass short middle to R.Rice to BAL 40 for 5 yards (L.Timmons).
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,3,0,0 Yard Run,2nd & 5 at BAL 40,14:27 1st,— R.Rice left guard to BAL 40 for no gain (L.Timmons).
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,4,0,18 Yard Pass,3rd & 5 at BAL 40,13:51 1st Shotgun,— J.Flacco pass short left to T.Heap to PIT 42 for 18 yards (I.Taylor).
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,5,0,3 Yard Pass,1st & 10 at PIT 42,13:13 1st Shotgun,— J.Flacco pass short middle to R.Rice to PIT 39 for 3 yards (J.Farrior).
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,6,0,Pass Incomplete,2nd & 7 at PIT 39,12:39 1st,— J.Flacco pass incomplete short right to T.Heap (J.Farrior).
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,7,0,Pass Incomplete,3rd & 7 at PIT 39,12:36 1st Shotgun,— J.Flacco pass incomplete short middle to T.Heap (R.Clark).
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,1,Baltimore Ravens,0,8,0,Punt,4th & 7 at PIT 39,12:30 1st Punt formation,"— S.Koch punts 39 yards to end zone, Center-K.Houser, Touchback."
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,2,Pittsburgh Steelers,1,1,0,-9 Yard Run,1st & 10 at PIT 20,12:22 1st,"— R.Mendenhall right guard to PIT 22 for 2 yards (R.Lewis, K.Gregg). PENALTY on PIT-H.Ward, Unnecessary Roughness, 11 yards, enforced at PIT 22."
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,2,Pittsburgh Steelers,1,2,0,7 Yard Pass,2nd & 19 at PIT 11,11:52 1st Shotgun,— B.Roethlisberger pass short right to A.Brown to PIT 18 for 7 yards (L.Webb).
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,2,Pittsburgh Steelers,1,3,0,20 Yard Pass,3rd & 12 at PIT 18,11:19 1st Shotgun,— B.Roethlisberger pass deep right to M.Wallace ran ob at PIT 38 for 20 yards.
2010,DIVISIONAL PLAYOFFS,Saturday,January 15th,BAL,PIT,1st Quarter,2,Pittsburgh Steelers,1,4,0,37 Yard Penalty,1st & 10 at PIT 38,10:49 1st Shotgun,"— B.Roethlisberger pass incomplete deep left to M.Wallace. PENALTY on BAL-J.Wilson, Defensive Pass Interference, 37 yards, enforced at PIT 38 - No Play."
