Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,1,Houston Texans,0,1,0,Kickoff from CIN 35,,Kickoff,"— M.Nugent kicks 74 yards from CIN 35 to HOU -9. D.Manning, Touchback."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,1,Houston Texans,0,2,0,5 Yard Run,1st & 10 at HOU 20,15:00 1st,— A.Foster left guard to HOU 25 for 5 yards (R.Geathers).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,1,Houston Texans,0,3,0,-5 Yard Penalty,2nd & 5 at HOU 25,14:26 1st,"— PENALTY on HOU-A.Foster, False Start, 5 yards, enforced at HOU 25 - No Play."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,1,Houston Texans,0,4,0,5 Yard Run,2nd & 10 at HOU 20,14:07 1st,— B.Tate right end to HOU 25 for 5 yards (T.Howard).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,1,Houston Texans,0,5,0,Pass Incomplete,3rd & 5 at HOU 25,13:31 1st Shotgun,— T.Yates pass incomplete short middle to A.Johnson.
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,1,Houston Texans,0,6,0,Punt,4th & 5 at HOU 25,13:26 1st,"— M.Turk punts 56 yards to CIN 19, Center-J.Weeks. B.Tate to CIN 26 for 7 yards (J.Weeks, S.McManis). (The punt hang time was 4.7 seconds.)"
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,1,0,2 Yard Run,1st & 10 at CIN 26,13:14 1st,— C.Benson left end to CIN 28 for 2 yards (B.Cushing).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,2,0,6 Yard Pass,2nd & 8 at CIN 28,12:42 1st,"— A.Dalton pass short left to A.Green to CIN 34 for 6 yards (J.Joseph, D.Ryans)."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,3,0,Pass Incomplete,3rd & 2 at CIN 34,11:55 1st Shotgun,— A.Dalton pass incomplete short left to C.Benson.
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,4,0,Punt,4th & 2 at CIN 34,11:50 1st,"— K.Huber punts 55 yards to HOU 11, Center-C.Harris. J.Jones to HOU 13 for 2 yards (G.Wilson). (The punt hang time was 4.5 seconds.)"
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,3,Houston Texans,0,1,0,20 Yard Pass,1st & 10 at HOU 13,11:37 1st,— T.Yates pass deep middle to A.Johnson to HOU 33 for 20 yards (R.Nelson).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,3,Houston Texans,0,2,0,Pass Incomplete,1st & 10 at HOU 33,11:01 1st,— T.Yates pass incomplete short middle to O.Daniels.
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,3,Houston Texans,0,3,0,-2 Yard Run,2nd & 10 at HOU 33,10:55 1st,— A.Foster right tackle to HOU 31 for -2 yards (G.Atkins).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,3,Houston Texans,0,4,0,Pass Incomplete,3rd & 12 at HOU 31,10:15 1st Shotgun,— T.Yates pass incomplete short left to K.Walter (J.Fanene).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,3,Houston Texans,0,5,0,Punt,4th & 12 at HOU 31,10:08 1st,"— M.Turk punts 51 yards to CIN 18, Center-J.Weeks. B.Tate to CIN 26 for 8 yards (J.Casey, B.Braman). (The punt hang time was 4.9 seconds.)"
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,1,1,0,2 Yard Run,1st & 10 at CIN 26,09:57 1st,"— C.Benson left guard to CIN 28 for 2 yards (J.Watt, S.Cody)."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,1,2,0,52 Yard Penalty,2nd & 8 at CIN 28,09:16 1st,"— A.Dalton pass incomplete deep middle to A.Green. PENALTY on HOU-G.Quin, Defensive Pass Interference, 52 yards, enforced at CIN 28 - No Play."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,1,3,0,3 Yard Run,1st & 10 at HOU 20,09:06 1st,"— C.Benson right guard to HOU 17 for 3 yards (S.Cody, D.Ryans)."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,1,4,0,Pass Incomplete,2nd & 7 at HOU 17,08:27 1st,— A.Dalton pass incomplete deep left to A.Green.
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,1,5,0,16 Yard Pass,3rd & 7 at HOU 17,08:21 1st Shotgun,— A.Dalton pass short right to B.Leonard to HOU 1 for 16 yards (K.Jackson).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,1,6,1,Touchdown,1st & 1 at HOU 1,07:38 1st,"— C.Benson left guard for 1 yard, TOUCHDOWN."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,1,7,1,Extra Point,,07:34 1st,"— M.Nugent extra point is GOOD, Center-C.Harris, Holder-K.Huber."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,1,0,Kickoff from CIN 35,,Kickoff,"— M.Nugent kicks 65 yards from CIN 35 to end zone, Touchback."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,2,0,4 Yard Run,1st & 10 at HOU 20,07:34 1st,— A.Foster left guard to HOU 24 for 4 yards (D.Peko).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,3,0,20 Yard Run,2nd & 6 at HOU 24,07:06 1st,— A.Foster right guard pushed ob at HOU 44 for 20 yards (A.Jones).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,4,0,36 Yard Pass,1st & 10 at HOU 44,06:39 1st,"— T.Yates pass deep middle to O.Daniels to CIN 35 for 21 yards (R.Nelson). PENALTY on CIN-R.Nelson, Unnecessary Roughness, 15 yards, enforced at CIN 35."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,5,0,8 Yard Run,1st & 10 at CIN 20,06:16 1st,"— A.Foster up the middle to CIN 12 for 8 yards (T.Howard, R.Nelson)."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,6,0,4 Yard Run,2nd & 2 at CIN 12,05:43 1st,— A.Foster up the middle to CIN 8 for 4 yards (D.Peko).
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,7,1,Touchdown,1st & 8 at CIN 8,05:04 1st,"— A.Foster left end for 8 yards, TOUCHDOWN."
2011,WILD CARD WEEKEND,Saturday,January 7th,CIN,HOU,1st Quarter,5,Houston Texans,1,8,1,Extra Point,,04:57 1st,"— N.Rackers extra point is GOOD, Center-J.Weeks, Holder-M.Turk."
