Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,1,New England Patriots,0,1,0,Kickoff from DEN 35,,Kickoff,"— B.McManus kicks 65 yards from DEN 35 to end zone, Touchback."
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,1,New England Patriots,0,2,0,5 Yard Pass,1st & 10 at NE 20,15:00 1st Shotgun,— T.Brady pass short left to R.Gronkowski to NE 25 for 5 yards (D.Trevathan).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,1,New England Patriots,0,3,0,8 Yard Pass,2nd & 5 at NE 25,14:23 1st Shotgun,"— T.Brady pass short middle to J.Edelman to NE 33 for 8 yards (C.Harris). Penalty on DEN-A.Talib, Defensive Holding, declined."
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,1,New England Patriots,0,4,0,2 Yard Run,1st & 10 at NE 33,13:57 1st,— J.White left guard to NE 35 for 2 yards (D.Ware; T.Ward).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,1,New England Patriots,0,5,0,Pass Incomplete,2nd & 8 at NE 35,13:20 1st,— T.Brady pass incomplete short left to J.Edelman.
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,1,New England Patriots,0,6,0,Pass Incomplete,3rd & 8 at NE 35,13:17 1st Shotgun,— T.Brady pass incomplete short middle to R.Gronkowski [D.Wolfe].
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,1,New England Patriots,0,7,0,Punt,4th & 8 at NE 35,13:12 1st,"— R.Allen punts 47 yards to DEN 18, Center-J.Cardona. J.Norwood to DEN 17 for -1 yards (B.King)."
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,1,0,Pass Incomplete,1st & 10 at DEN 17,13:02 1st,— P.Manning pass incomplete short left to R.Hillman.
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,2,0,Pass Incomplete,2nd & 10 at DEN 17,12:58 1st,— P.Manning pass incomplete deep right to V.Davis (D.McCourty).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,3,0,11 Yard Pass,3rd & 10 at DEN 17,12:54 1st Shotgun,— P.Manning pass short right to E.Sanders to DEN 28 for 11 yards (M.Butler).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,4,0,-1 Yard Run,1st & 10 at DEN 28,12:16 1st Shotgun,— R.Hillman right guard to DEN 27 for -1 yards (J.Collins).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,5,0,13 Yard Pass,2nd & 11 at DEN 27,11:35 1st,— P.Manning pass short right to J.Norwood to DEN 40 for 13 yards (L.Ryan).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,6,0,2 Yard Run,1st & 10 at DEN 40,11:03 1st Shotgun,— C.Anderson up the middle to DEN 42 for 2 yards (J.Sheard).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,7,0,2 Yard Run,2nd & 8 at DEN 42,10:20 1st,— C.Anderson right tackle to DEN 44 for 2 yards (J.Collins).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,8,0,14 Yard Penalty,3rd & 6 at DEN 44,09:47 1st Shotgun,"— P.Manning pass incomplete short left to D.Thomas. PENALTY on NE-L.Ryan, Defensive Pass Interference, 14 yards, enforced at DEN 44 - No Play."
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,9,0,7 Yard Run,1st & 10 at NE 42,09:43 1st,— R.Hillman left tackle to NE 35 for 7 yards (J.Sheard).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,10,0,15 Yard Pass,2nd & 3 at NE 35,09:03 1st,— P.Manning pass short middle to A.Caldwell to NE 20 for 15 yards (J.Coleman).
2015,CONFERENCE CHAMPIONSHIPS,Sunday,January 24th,NE,DEN,1st Quarter,2,Denver Broncos,1,11,0,-1 Yard Run,1st & 10 at NE 20,08:19 1st,— R.Hillman left guard to NE 21 for -1 yards (A.Hicks).
