Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,1,0,Kickoff from TB 35,,Kickoff,"— R.Aguayo kicks 65 yards from TB 35 to end zone, Touchback."
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,2,0,7 Yard Run,1st & 10 at WAS 25,15:00 1st,"— R.Kelley left tackle to WAS 32 for 7 yards (R.Smith, C.Matthews)."
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,3,0,6 Yard Run,2nd & 3 at WAS 32,14:24 1st,— R.Kelley left guard to WAS 38 for 6 yards (W.Gholston).
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,4,0,9 Yard Run,1st & 10 at WAS 38,13:46 1st,— M.Brown left end to WAS 47 for 9 yards (L.Rhodes).
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,5,0,4 Yard Run,2nd & 1 at WAS 47,13:04 1st,"— M.Brown left guard to TB 49 for 4 yards (A.Glanton, R.Smith)."
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,6,0,Pass Incomplete,1st & 10 at TB 49,12:25 1st,— N.Sudfeld pass incomplete short left to L.Paulsen (A.Glanton).
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,7,0,11 Yard Run,2nd & 10 at TB 49,12:19 1st,— R.Kelley left guard to TB 38 for 11 yards (K.Tandy).
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,8,0,5 Yard Run,1st & 10 at TB 38,11:38 1st,— R.Kelley right guard to TB 33 for 5 yards (N.Spence).
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,9,0,1 Yard Run,2nd & 5 at TB 33,10:57 1st,— R.Kelley left tackle to TB 32 for 1 yard (A.Spence; J.Banks).
2016,PRESEASON WEEK 4,Wednesday,August 31st,WAS,TB,1st Quarter,1,Washington Commanders,1,10,0,3 Yard Pass,3rd & 4 at TB 32,10:14 1st Shotgun,— N.Sudfeld pass short middle to R.Ross to TB 29 for 3 yards (J.Adjei-Barimah).
