Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,1,New England Patriots,0,1,0,Kickoff from ATL 35,,Kickoff,"— M.Bosher kicks 65 yards from ATL 35 to end zone, Touchback."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,1,New England Patriots,0,2,0,Pass Incomplete,1st & 10 at NE 25,15:00 1st Shotgun,— T.Brady pass incomplete short middle to J.Edelman.
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,1,New England Patriots,0,3,0,9 Yard Pass,2nd & 10 at NE 25,14:55 1st Shotgun,— T.Brady pass short right to J.Edelman to NE 34 for 9 yards (P.Wheeler).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,1,New England Patriots,0,4,0,0 Yard Run,3rd & 1 at NE 34,14:26 1st,— L.Blount right tackle to NE 34 for no gain (D.Jones).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,1,New England Patriots,0,5,0,Punt,4th & 1 at NE 34,13:47 1st,"— R.Allen punts 51 yards to ATL 15, Center-J.Cardona. E.Weems pushed ob at ATL 16 for 1 yard (B.Mingo). PENALTY on ATL-P.Worrilow, Offensive Holding, 7 yards, enforced at ATL 15."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,2,Atlanta Falcons,0,1,0,37 Yard Run,1st & 10 at ATL 8,13:37 1st,— D.Freeman left end to ATL 45 for 37 yards (M.Butler; D.McCourty).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,2,Atlanta Falcons,0,2,0,3 Yard Run,1st & 10 at ATL 45,12:55 1st,"— D.Freeman left end to ATL 48 for 3 yards (T.Flowers, M.Brown)."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,2,Atlanta Falcons,0,3,0,2 Yard Pass,2nd & 7 at ATL 48,12:16 1st,— M.Ryan pass short right to P.DiMarco to 50 for 2 yards (P.Chung).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,2,Atlanta Falcons,0,4,0,-10 Yard Sack,3rd & 5 at 50,11:32 1st Shotgun,— M.Ryan sacked at ATL 40 for -10 yards (T.Flowers).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,2,Atlanta Falcons,0,5,0,Punt,4th & 15 at ATL 40,10:41 1st,"— M.Bosher punts 55 yards to NE 5, Center-J.Harris. J.Edelman to NE 10 for 5 yards (C.Goodwin; P.DiMarco)."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,1,0,2 Yard Run,1st & 10 at NE 10,10:28 1st,— J.Edelman right end pushed ob at NE 12 for 2 yards (K.Neal; D.Jones).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,2,0,13 Yard Pass,2nd & 8 at NE 12,09:56 1st Shotgun,— T.Brady pass short left to D.Amendola to NE 25 for 13 yards (B.Poole).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,3,0,15 Yard Pass,1st & 10 at NE 25,09:22 1st,— T.Brady pass short left to C.Hogan to NE 40 for 15 yards (J.Collins) [T.Jackson].
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,4,0,2 Yard Run,1st & 10 at NE 40,08:38 1st Shotgun,"— L.Blount left tackle to NE 42 for 2 yards (K.Neal, B.Reed)."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,5,0,7 Yard Pass,2nd & 8 at NE 42,07:56 1st Shotgun,— T.Brady pass short right to M.Mitchell to NE 49 for 7 yards (D.Jones).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,6,0,11 Yard Pass,3rd & 1 at NE 49,07:15 1st Shotgun,— T.Brady pass short middle to J.White to ATL 40 for 11 yards (J.Collins).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,7,0,-8 Yard Sack,1st & 10 at ATL 40,06:36 1st,— T.Brady sacked at ATL 48 for -8 yards (C.Upshaw).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,8,0,Pass Incomplete,2nd & 18 at ATL 48,05:55 1st Shotgun,— T.Brady pass incomplete deep left to J.White (D.Jones) [J.Babineaux].
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,9,0,-1 Yard Sack,3rd & 18 at ATL 48,05:48 1st Shotgun,— T.Brady sacked at ATL 49 for -1 yards (G.Jarrett).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,3,New England Patriots,0,10,0,Punt,4th & 19 at ATL 49,05:14 1st,"— R.Allen punts 37 yards to ATL 12, Center-J.Cardona, fair catch by E.Weems."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,4,Atlanta Falcons,0,1,0,9 Yard Run,1st & 10 at ATL 12,05:08 1st Shotgun,— T.Coleman right end to ATL 21 for 9 yards (D.McCourty).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,4,Atlanta Falcons,0,2,0,10 Yard Pass,2nd & 1 at ATL 21,04:25 1st Shotgun,"— M.Ryan pass short left to P.DiMarco to ATL 31 for 10 yards (P.Chung, L.Ryan) [D.Hightower]."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,4,Atlanta Falcons,0,3,0,2 Yard Run,1st & 10 at ATL 31,03:45 1st,— D.Freeman right tackle to ATL 33 for 2 yards (A.Branch; R.Ninkovich).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,4,Atlanta Falcons,0,4,0,5 Yard Run,2nd & 8 at ATL 33,03:04 1st Shotgun,— T.Coleman left end pushed ob at ATL 38 for 5 yards (L.Ryan).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,4,Atlanta Falcons,0,5,0,-2 Yard Sack,3rd & 3 at ATL 38,02:27 1st Shotgun,— M.Ryan sacked at ATL 36 for -2 yards (sack split by J.Sheard and A.Branch).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,1st Quarter,4,Atlanta Falcons,0,6,0,Punt,4th & 5 at ATL 36,01:48 1st,"— M.Bosher punts 55 yards to NE 9, Center-J.Harris. J.Edelman pushed ob at NE 18 for 9 yards (E.Weems)."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,1,New England Patriots,0,1,0,13 Yard Pass,1st & 10 at NE 18,01:36 1st Shotgun,— T.Brady pass short left to J.Edelman to NE 31 for 13 yards (R.Alford).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,1,New England Patriots,0,2,0,7 Yard Run,1st & 10 at NE 31,00:58 1st Shotgun,— L.Blount up the middle to NE 38 for 7 yards (R.Alford; R.Allen).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,1,New England Patriots,0,3,0,2 Yard Run,2nd & 3 at NE 38,00:24 1st Shotgun,— L.Blount up the middle to NE 40 for 2 yards (D.Campbell).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,1,New England Patriots,0,4,0,27 Yard Pass,3rd & 1 at NE 40,15:00 2nd Shotgun,— T.Brady pass deep right to J.Edelman to ATL 33 for 27 yards (R.Alford).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,1,New England Patriots,0,5,0,Fumble,1st & 10 at ATL 33,14:19 2nd,"— L.Blount left tackle to ATL 29 for 4 yards (D.Jones). FUMBLES (D.Jones), RECOVERED by ATL-R.Alford at ATL 29. R.Alford to ATL 29 for no gain (J.Edelman). Penalty on NE-M.Bennett, Offensive Holding, declined."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,2,Atlanta Falcons,1,1,0,19 Yard Pass,1st & 10 at ATL 29,14:08 2nd Shotgun,— M.Ryan pass short middle to J.Jones to ATL 48 for 19 yards (L.Ryan).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,2,Atlanta Falcons,1,2,0,23 Yard Pass,1st & 10 at ATL 48,13:29 2nd,— M.Ryan pass deep left to J.Jones ran ob at NE 29 for 23 yards.
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,2,Atlanta Falcons,1,3,0,15 Yard Run,1st & 10 at NE 29,13:11 2nd,— D.Freeman right tackle to NE 14 for 15 yards (D.McCourty).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,2,Atlanta Falcons,1,4,0,9 Yard Run,1st & 10 at NE 14,12:46 2nd,— D.Freeman left tackle to NE 5 for 9 yards (D.Harmon).
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,2,Atlanta Falcons,1,5,0,Timeout,,12:20 2nd,— Timeout #1 by NE at 12:20.
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,2,Atlanta Falcons,1,6,1,Touchdown,2nd & 1 at NE 5,12:20 2nd Shotgun,"— D.Freeman left end for 5 yards, TOUCHDOWN."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,2,Atlanta Falcons,1,7,1,Extra Point,,12:15 2nd,"— M.Bryant extra point is GOOD, Center-J.Harris, Holder-M.Bosher."
2016,SUPER BOWL,Sunday,February 5th,NE,ATL,2nd Quarter,3,New England Patriots,0,1,0,Kickoff from ATL 35,,Kickoff,— M.Bosher kicks 69 yards from ATL 35 to NE -4. D.Lewis to NE 16 for 20 yards (S.Neasman).
