Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,1,Pittsburgh Steelers,0,1,0,Kickoff from GB 30,,Kickoff,— M.Crosby kicks 72 yards from GB 30 to PIT -2. A.Brown pushed ob at PIT 36 for 38 yards (M.Crosby). Return outside the yard markers left sideline.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,1,Pittsburgh Steelers,0,2,0,4 Yard Pass,1st & 10 at PIT 36,14:54 1st,— B.Roethlisberger pass short right to H.Ward to PIT 40 for 4 yards (C.Matthews). Pass quick out sideline.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,1,Pittsburgh Steelers,0,3,0,-4 Yard Run,2nd & 6 at PIT 40,14:12 1st,— R.Mendenhall left tackle to PIT 36 for -4 yards (F.Zombo).
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,1,Pittsburgh Steelers,0,4,0,Pass Incomplete,3rd & 10 at PIT 36,13:29 1st Shotgun,— B.Roethlisberger pass incomplete short right to A.Brown. Pass incomplete right sideline at the 49; Williams closest defender.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,1,Pittsburgh Steelers,0,5,0,Punt,4th & 10 at PIT 36,13:19 1st Punt formation,"— J.Kapinos punts 40 yards to GB 24, Center-G.Warren. T.Williams MUFFS catch, and recovers at GB 21."
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,2,Green Bay Packers,0,1,0,Pass Incomplete,1st & 10 at GB 21,13:13 1st Shotgun,— A.Rodgers pass incomplete short middle to G.Jennings. Pass incomplete on slant; Woodley closest defender.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,2,Green Bay Packers,0,2,0,1 Yard Run,2nd & 10 at GB 21,13:10 1st Shotgun,— J.Starks left tackle to GB 22 for 1 yard (L.Woodley). Delayed handoff.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,2,Green Bay Packers,0,3,0,24 Yard Pass,3rd & 9 at GB 22,12:31 1st Shotgun,"— A.Rodgers pass deep middle to D.Driver to GB 46 for 24 yards (A.Madison). Penalty on PIT-J.Farrior, Defensive Offside, declined. Pass complete on deep slant."
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,2,Green Bay Packers,0,4,0,Pass Incomplete,1st & 10 at GB 46,12:08 1st,— A.Rodgers pass incomplete short left to J.Nelson [B.Keisel]. Pass incomplete off play action sideline at the Pittsburgh 44.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,2,Green Bay Packers,0,5,0,3 Yard Run,2nd & 10 at GB 46,12:03 1st,— J.Starks right tackle to GB 49 for 3 yards (B.Keisel).
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,2,Green Bay Packers,0,6,0,Pass Incomplete,3rd & 7 at GB 49,11:19 1st Shotgun,— A.Rodgers pass incomplete deep right to J.Nelson. Pass incomplete on deep fly pattern at the Pittsburgh 15.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,2,Green Bay Packers,0,7,0,Punt,4th & 7 at GB 49,11:13 1st Punt formation,"— T.Masthay punts 51 yards to end zone, Center-B.Goode, Touchback."
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,3,Pittsburgh Steelers,0,1,0,15 Yard Run,1st & 10 at PIT 20,11:05 1st,"— R.Mendenhall right tackle to PIT 35 for 15 yards (D.Bishop, T.Williams)."
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,3,Pittsburgh Steelers,0,2,0,9 Yard Run,1st & 10 at PIT 35,10:24 1st,— R.Mendenhall right tackle to PIT 44 for 9 yards (A.Hawk).
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,3,Pittsburgh Steelers,0,3,0,-5 Yard Penalty,2nd & 1 at PIT 44,09:43 1st,"— PENALTY on PIT-D.Johnson, False Start, 5 yards, enforced at PIT 44 - No Play."
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,3,Pittsburgh Steelers,0,4,0,5 Yard Pass,2nd & 6 at PIT 39,09:16 1st,— B.Roethlisberger pass short right to M.Wallace to PIT 44 for 5 yards (T.Williams).
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,3,Pittsburgh Steelers,0,5,0,Pass Incomplete,3rd & 1 at PIT 44,08:31 1st,— B.Roethlisberger pass incomplete short middle to H.Miller.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,3,Pittsburgh Steelers,0,6,0,Punt,4th & 1 at PIT 44,08:26 1st Punt formation,"— J.Kapinos punts 56 yards to end zone, Center-G.Warren, Touchback."
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,4,Green Bay Packers,1,1,0,Pass Incomplete,1st & 10 at GB 20,08:17 1st Shotgun,— A.Rodgers pass incomplete deep left to G.Jennings.
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,4,Green Bay Packers,1,2,0,9 Yard Pass,2nd & 10 at GB 20,08:11 1st,— A.Rodgers pass short middle to J.Nelson to GB 29 for 9 yards (B.McFadden).
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,4,Green Bay Packers,1,3,0,8 Yard Run,3rd & 1 at GB 29,07:24 1st,— J.Starks right end pushed ob at GB 37 for 8 yards (R.Clark).
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,4,Green Bay Packers,1,4,0,9 Yard Pass,1st & 10 at GB 37,06:58 1st,— A.Rodgers pass short left to J.Nelson pushed ob at GB 46 for 9 yards (B.McFadden).
2010,SUPER BOWL,Sunday,February 6th,PIT,GB,1st Quarter,4,Green Bay Packers,1,5,0,2 Yard Run,2nd & 1 at GB 46,06:32 1st,— J.Starks left tackle to GB 48 for 2 yards (J.Farrior; R.Clark).
