Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,1,0,Kickoff from PIT 35,,Kickoff,— S.Suisham kicks 70 yards from PIT 35 to TEN -5. D.Reynaud to TEN 27 for 32 yards (C.Rainey; R.Mundy).
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,2,0,19 Yard Pass,1st & 10 at TEN 27,14:54 1st,— M.Hasselbeck pass deep left to N.Washington to TEN 46 for 19 yards (R.Clark).
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,3,0,Pass Incomplete,1st & 10 at TEN 46,14:25 1st,— M.Hasselbeck pass incomplete deep left to K.Britt [B.Keisel].
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,4,0,7 Yard Run,2nd & 10 at TEN 46,14:20 1st,— C.Johnson up the middle to PIT 47 for 7 yards (J.Worilds; W.Allen).
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,5,0,15 Yard Pass,3rd & 3 at PIT 47,13:34 1st Shotgun,— M.Hasselbeck pass short left to K.Britt pushed ob at PIT 32 for 15 yards (I.Taylor).
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,6,0,5 Yard Run,1st & 10 at PIT 32,13:03 1st No Huddle,— C.Johnson up the middle to PIT 27 for 5 yards (R.Clark).
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,7,0,25 Yard Penalty,2nd & 5 at PIT 27,12:25 1st,"— M.Hasselbeck pass incomplete deep left to D.Williams. PENALTY on PIT-I.Taylor, Defensive Pass Interference, 25 yards, enforced at PIT 27 - No Play."
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,8,0,-8 Yard Sack,1st & 2 at PIT 2,12:19 1st,— M.Hasselbeck sacked at PIT 10 for -8 yards (J.Harrison).
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,9,0,6 Yard Pass,2nd & 10 at PIT 10,11:43 1st Shotgun,— M.Hasselbeck pass short right to J.Cook to PIT 4 for 6 yards (R.Clark; L.Timmons).
2012,WEEK 6,Thursday,October 11th,PIT,TEN,1st Quarter,1,Tennessee Titans,1,10,0,Pass Incomplete,3rd & 4 at PIT 4,11:02 1st Shotgun,— M.Hasselbeck pass incomplete short right to K.Wright.
