Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,1,New Orleans Saints,0,1,0,Kickoff from SEA 35,,Kickoff,"— S.Hauschka kicks 65 yards from SEA 35 to end zone, Touchback."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,1,New Orleans Saints,0,2,0,4 Yard Run,1st & 10 at NO 20,15:00 1st,— K.Robinson right tackle to NO 24 for 4 yards (C.Clemons; B.Mebane).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,1,New Orleans Saints,0,3,0,0 Yard Run,2nd & 6 at NO 24,14:25 1st,— D.Sproles right end to NO 24 for no gain (K.Chancellor).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,1,New Orleans Saints,0,4,0,Pass Incomplete,3rd & 6 at NO 24,13:49 1st Shotgun,— D.Brees pass incomplete short right to M.Ingram.
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,1,New Orleans Saints,0,5,0,Punt,4th & 6 at NO 24,13:45 1st,"— T.Morstead punts 16 yards to NO 40, Center-J.Drescher, out of bounds."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,2,Seattle Seahawks,1,1,0,0 Yard Run,1st & 10 at NO 40,13:39 1st,"— M.Lynch right tackle to NO 40 for no gain (B.Bunkley, R.Humber)."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,2,Seattle Seahawks,1,2,0,-1 Yard Pass,2nd & 10 at NO 40,13:10 1st Shotgun,— R.Wilson pass short left to P.Harvin to NO 41 for -1 yards (M.Jenkins; R.Harper).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,2,Seattle Seahawks,1,3,0,14 Yard Penalty,3rd & 11 at NO 41,12:24 1st Shotgun,"— R.Wilson pass incomplete deep left to P.Harvin (R.Bush). PENALTY on NO-R.Bush, Unnecessary Roughness, 14 yards, enforced at NO 41 - No Play."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,2,Seattle Seahawks,1,4,0,5 Yard Run,1st & 10 at NO 27,12:19 1st,"— M.Lynch right tackle to NO 22 for 5 yards (D.Hawthorne, C.Lofton)."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,2,Seattle Seahawks,1,5,0,-4 Yard Run,2nd & 5 at NO 22,11:37 1st Shotgun,— M.Lynch right guard to NO 26 for -4 yards (C.Jordan).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,2,Seattle Seahawks,1,6,0,6 Yard Pass,3rd & 9 at NO 26,11:06 1st Shotgun,— R.Wilson pass short right to D.Baldwin to NO 20 for 6 yards (R.Harper).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,2,Seattle Seahawks,1,7,1,Field Goal,4th & 3 at NO 20,10:24 1st,"— S.Hauschka 38 yard field goal is GOOD, Center-C.Gresham, Holder-J.Ryan."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,1,0,Kickoff from SEA 35,,Kickoff,"— S.Hauschka kicks 65 yards from SEA 35 to end zone, Touchback."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,2,0,7 Yard Run,1st & 10 at NO 20,10:19 1st,— M.Ingram right tackle to NO 27 for 7 yards (M.Smith; K.Chancellor).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,3,0,11 Yard Run,2nd & 3 at NO 27,09:41 1st,— M.Ingram left tackle to NO 38 for 11 yards (E.Thomas).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,4,0,13 Yard Pass,1st & 10 at NO 38,09:04 1st,— D.Brees pass short left to K.Robinson to SEA 49 for 13 yards (E.Thomas).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,5,0,4 Yard Run,1st & 10 at SEA 49,08:24 1st,— K.Robinson left tackle to SEA 45 for 4 yards (B.Irvin).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,6,0,12 Yard Run,2nd & 6 at SEA 45,07:45 1st,— M.Ingram left tackle pushed ob at SEA 33 for 12 yards (E.Thomas).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,7,0,0 Yard Run,1st & 10 at SEA 33,07:11 1st,— K.Robinson right tackle to SEA 33 for no gain (K.Chancellor; B.Mebane).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,8,0,-3 Yard Pass,2nd & 10 at SEA 33,06:31 1st Shotgun,— D.Brees pass short left to D.Sproles to SEA 36 for -3 yards (B.Wagner).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,9,0,9 Yard Pass,3rd & 13 at SEA 36,05:50 1st Shotgun,— D.Brees pass short middle to D.Sproles to SEA 27 for 9 yards (E.Thomas; M.Bennett).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,3,New Orleans Saints,0,10,0,Field Goal No Good,4th & 4 at SEA 27,05:08 1st,"— S.Graham 45 yard field goal is No Good, Wide Left, Center-J.Drescher, Holder-L.McCown."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,1,0,Sack,1st & 10 at SEA 35,05:03 1st Shotgun,— R.Wilson sacked at SEA 35 for 0 yards (J.Jenkins).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,2,0,6 Yard Run,2nd & 10 at SEA 35,04:28 1st,— M.Lynch up the middle to SEA 41 for 6 yards (C.White).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,3,0,13 Yard Pass,3rd & 4 at SEA 41,03:52 1st Shotgun,— R.Wilson pass short right to G.Tate to NO 46 for 13 yards (C.Lofton; R.Bush).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,4,0,3 Yard Pass,1st & 10 at NO 46,03:08 1st,— R.Wilson pass short right to M.Lynch ran ob at NO 43 for 3 yards.
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,5,0,7 Yard Run,2nd & 7 at NO 43,02:41 1st,"— M.Lynch left tackle to NO 36 for 7 yards (R.Humber, M.Jenkins)."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,6,0,5 Yard Run,1st & 10 at NO 36,01:59 1st Shotgun,— R.Turbin right guard to NO 31 for 5 yards (M.Jenkins; D.Hawthorne).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,7,0,0 Yard Run,2nd & 5 at NO 31,01:24 1st,— R.Turbin up the middle to NO 31 for no gain (C.Jordan; C.White).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,8,0,Pass Incomplete,3rd & 5 at NO 31,00:45 1st Shotgun,— R.Wilson pass incomplete short middle to G.Tate.
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,1st Quarter,4,Seattle Seahawks,1,9,1,Field Goal,4th & 5 at NO 31,00:42 1st,"— S.Hauschka 49 yard field goal is GOOD, Center-C.Gresham, Holder-J.Ryan."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,2nd Quarter,1,New Orleans Saints,0,1,0,Kickoff from SEA 35,,Kickoff,"— S.Hauschka kicks 65 yards from SEA 35 to end zone, Touchback."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,2nd Quarter,1,New Orleans Saints,0,2,0,4 Yard Run,1st & 10 at NO 20,00:37 1st,— M.Ingram right tackle to NO 24 for 4 yards (R.Sherman).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,2nd Quarter,1,New Orleans Saints,0,3,0,Fumble,2nd & 6 at NO 24,15:00 2nd Shotgun,"— M.Ingram up the middle to NO 24 for no gain (M.Bennett). FUMBLES (M.Bennett), RECOVERED by SEA-M.Bennett at NO 24. M.Bennett to NO 24 for no gain (J.Evans)."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,2nd Quarter,2,Seattle Seahawks,1,1,0,9 Yard Run,1st & 10 at NO 24,14:51 2nd Shotgun,— P.Harvin right end pushed ob at NO 15 for 9 yards (C.Lofton).
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,2nd Quarter,2,Seattle Seahawks,1,2,1,Touchdown,2nd & 1 at NO 15,14:23 2nd Shotgun,"— M.Lynch up the middle for 15 yards, TOUCHDOWN."
2013,DIVISIONAL PLAYOFFS,Saturday,January 11th,NO,SEA,2nd Quarter,2,Seattle Seahawks,1,3,1,Extra Point,,14:17 2nd,"— S.Hauschka extra point is GOOD, Center-C.Gresham, Holder-J.Ryan."
