Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,1,0,Kickoff from NO 35,,Kickoff,"— D.Hopkins kicks 65 yards from NO 35 to end zone, Touchback."
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,2,0,7 Yard Pass,1st & 10 at BAL 20,15:00 1st,— J.Flacco pass short right to K.Juszczyk to BAL 27 for 7 yards (K.Vaccaro).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,3,0,1 Yard Run,2nd & 3 at BAL 27,14:34 1st,— J.Forsett right guard to BAL 28 for 1 yard (C.Jordan).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,4,0,3 Yard Pass,3rd & 2 at BAL 28,13:56 1st Shotgun,— J.Flacco pass short middle to S.Smith to BAL 31 for 3 yards (B.Browner).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,5,0,2 Yard Run,1st & 10 at BAL 31,13:21 1st,— J.Forsett left tackle to BAL 33 for 2 yards (S.Anthony; K.Williams).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,6,0,8 Yard Pass,2nd & 8 at BAL 33,12:48 1st,— J.Flacco pass short middle to C.Gillmore to BAL 41 for 8 yards (S.Anthony; B.Richardson).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,7,0,9 Yard Pass,1st & 10 at BAL 41,12:05 1st,— J.Flacco pass short right to L.Taliaferro pushed ob at BAL 50 for 9 yards (H.Kikaha).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,8,0,5 Yard Run,2nd & 1 at BAL 50,11:34 1st,— L.Taliaferro right guard to NO 45 for 5 yards (K.Vaccaro).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,9,0,3 Yard Run,1st & 10 at NO 45,11:01 1st,— J.Allen right guard to NO 42 for 3 yards (J.Jenkins; B.Richardson).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,10,0,Pass Incomplete,2nd & 7 at NO 42,10:33 1st,— J.Flacco pass incomplete short right to K.Juszczyk.
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,11,0,22 Yard Run,3rd & 7 at NO 42,10:27 1st Shotgun,"— J.Flacco scrambles left end ran ob at NO 25 for 17 yards. PENALTY on NO-B.Browner, Illegal Contact, 5 yards, enforced at NO 25."
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,12,0,5 Yard Run,1st & 10 at NO 20,09:50 1st,— L.Taliaferro right guard to NO 15 for 5 yards (S.Anthony; J.Jenkins).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,13,0,5 Yard Run,2nd & 5 at NO 15,09:20 1st,— L.Taliaferro left tackle to NO 10 for 5 yards (T.Barnes).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,14,0,3 Yard Run,1st & 10 at NO 10,08:48 1st,— L.Taliaferro left tackle to NO 7 for 3 yards (J.Jenkins).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,15,0,6 Yard Pass,2nd & 7 at NO 7,08:14 1st,— J.Flacco pass short right to K.Juszczyk to NO 1 for 6 yards (H.Kikaha).
2015,PRESEASON WEEK 1,Thursday,August 13th,NO,BAL,1st Quarter,1,Baltimore Ravens,1,16,0,0 Yard Run,3rd & 1 at NO 1,07:32 1st,— L.Taliaferro left guard to NO 1 for no gain (S.Anthony; R.Bush).
