Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,1,0,Kickoff from NYJ 30,,Kickoff,— N.Folk kicks 59 yards from NYJ 30 to PIT 11. A.Brown to PIT 34 for 23 yards (J.Mauga; L.Laury).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,2,0,1 Yard Run,1st & 10 at PIT 34,14:56 1st,— R.Mendenhall left tackle to PIT 35 for 1 yard (B.Scott).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,3,0,7 Yard Pass,2nd & 9 at PIT 35,14:21 1st,— B.Roethlisberger pass short right to H.Ward to PIT 42 for 7 yards (D.Harris).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,4,0,-5 Yard Penalty,3rd & 2 at PIT 42,13:33 1st Shotgun,"— PENALTY on PIT-B.Roethlisberger, Delay of Game, 5 yards, enforced at PIT 42 - No Play."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,5,0,5 Yard Penalty,3rd & 7 at PIT 37,13:06 1st Shotgun,"— B.Roethlisberger pass incomplete short right to E.Sanders. PENALTY on NYJ-A.Cromartie, Illegal Use of Hands, 5 yards, enforced at PIT 37 - No Play."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,6,0,Pass Incomplete,1st & 10 at PIT 42,13:02 1st,— B.Roethlisberger pass incomplete short middle to M.Spaeth. COVERAGE BY #57 SCOTT.
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,7,0,5 Yard Run,2nd & 10 at PIT 42,12:56 1st,— R.Mendenhall right tackle to PIT 47 for 5 yards (C.Pace).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,8,0,6 Yard Pass,3rd & 5 at PIT 47,12:12 1st Shotgun,— B.Roethlisberger pass short right to M.Wallace to NYJ 47 for 6 yards (A.Cromartie).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,9,0,8 Yard Run,1st & 10 at NYJ 47,11:42 1st,"— R.Mendenhall right end to NYJ 39 for 8 yards (M.Devito, D.Revis)."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,10,0,2 Yard Run,2nd & 2 at NYJ 39,11:02 1st,"— R.Mendenhall right tackle to NYJ 37 for 2 yards (D.Revis, T.Pryce)."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,11,0,8 Yard Run,1st & 10 at NYJ 37,10:16 1st,— R.Mendenhall right tackle to NYJ 29 for 8 yards (D.Revis; E.Smith).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,12,0,6 Yard Run,2nd & 2 at NYJ 29,09:33 1st,— I.Redman right tackle to NYJ 23 for 6 yards (S.Ellis).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,13,0,Pass Incomplete,1st & 10 at NYJ 23,08:50 1st,"— B.Roethlisberger pass deep left to H.Miller to NYJ 2 for 21 yards (E.Smith). New York Jets challenged the pass completion ruling, and the play was REVERSED. B.Roethlisberger pass incomplete deep left to H.Miller."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,14,0,-2 Yard Run,2nd & 10 at NYJ 23,08:44 1st,— R.Mendenhall right tackle to NYJ 25 for -2 yards (B.Pool).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,15,0,12 Yard Run,3rd & 12 at NYJ 25,07:58 1st Shotgun,— B.Roethlisberger scrambles up the middle to NYJ 13 for 12 yards (D.Revis).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,16,0,5 Yard Run,1st & 10 at NYJ 13,07:10 1st,"— R.Mendenhall left guard to NYJ 8 for 5 yards (S.Pouha, T.Pryce)."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,17,0,7 Yard Pass,2nd & 5 at NYJ 8,06:28 1st,— B.Roethlisberger pass short right to H.Ward to NYJ 1 for 7 yards (D.Harris). PIT-M.Pouncey was injured during the play. His return is Questionable.
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,18,1,Touchdown,1st & 1 at NYJ 1,05:59 1st,"— #79 Essex reports as eligible receiver. R.Mendenhall right tackle for 1 yard, TOUCHDOWN."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,1,Pittsburgh Steelers,1,19,1,Extra Point,,05:54 1st,"— S.Suisham extra point is GOOD, Center-G.Warren, Holder-J.Kapinos."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,1,0,Kickoff from PIT 30,,Kickoff,— S.Suisham kicks 55 yards from PIT 30 to NYJ 15. J.Cotchery to NYJ 27 for 12 yards (E.Sanders; R.Clark).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,2,0,Pass Incomplete,1st & 10 at NYJ 27,05:46 1st,— M.Sanchez pass incomplete short right to D.Keller (C.Hampton). batted down near the line of scrimmage.
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,3,0,0 Yard Run,2nd & 10 at NYJ 27,05:44 1st,— L.Tomlinson right guard to NYJ 27 for no gain (J.Harrison).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,4,0,14 Yard Pass,3rd & 10 at NYJ 27,05:05 1st Shotgun,— M.Sanchez pass short right to J.Cotchery to NYJ 41 for 14 yards (W.Gay).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,5,0,5 Yard Penalty,1st & 10 at NYJ 41,04:24 1st,"— #75 Turner reports as eligible receiver. M.Sanchez pass incomplete deep left to B.Edwards. PENALTY on PIT-R.Clark, Illegal Contact, 5 yards, enforced at NYJ 41 - No Play."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,6,0,1 Yard Run,1st & 10 at NYJ 46,04:17 1st,— S.Greene right guard to NYJ 47 for 1 yard (E.Hood).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,7,0,10 Yard Penalty,2nd & 9 at NYJ 47,03:36 1st,"— M.Sanchez pass incomplete short right to S.Holmes. PENALTY on PIT-I.Taylor, Defensive Pass Interference, 10 yards, enforced at NYJ 47 - No Play."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,8,0,1 Yard Run,1st & 10 at PIT 43,03:31 1st,— L.Tomlinson up the middle to PIT 42 for 1 yard (E.Hood; B.Keisel).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,9,0,-5 Yard Penalty,2nd & 9 at PIT 42,02:52 1st Shotgun,"— PENALTY on NYJ-B.Edwards, False Start, 5 yards, enforced at PIT 42 - No Play."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,10,0,Pass Incomplete,2nd & 14 at PIT 47,02:24 1st Shotgun,— M.Sanchez pass incomplete short middle to B.Hartsock (L.Timmons).
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,11,0,3 Yard Pass,3rd & 14 at PIT 47,02:19 1st Shotgun,"— M.Sanchez pass short left to J.Cotchery to PIT 44 for 3 yards (I.Taylor, J.Farrior)."
2010,CONFERENCE CHAMPIONSHIPS,Sunday,January 23rd,NYJ,PIT,1st Quarter,2,New York Jets,0,12,0,Punt,4th & 11 at PIT 44,01:51 1st Punt formation,"— S.Weatherford punts 31 yards to PIT 13, Center-T.Purdum, out of bounds."
