Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,1,New England Patriots,1,1,0,Kickoff from DEN 35,,Kickoff,"— M.Prater kicks 71 yards from DEN 35 to NE -6. D.Woodhead, Touchback."
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,1,New England Patriots,1,2,0,8 Yard Pass,1st & 10 at NE 20,15:00 1st,— T.Brady pass short middle to B.Green-Ellis to NE 28 for 8 yards (D.Williams; J.Mays).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,1,New England Patriots,1,3,0,5 Yard Run,2nd & 2 at NE 28,14:32 1st,— B.Green-Ellis up the middle to NE 33 for 5 yards (D.Bruton; Q.Carter).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,1,New England Patriots,1,4,0,17 Yard Pass,1st & 10 at NE 33,"14:07 1st No Huddle, Shotgun",— T.Brady pass short right to R.Gronkowski pushed ob at 50 for 17 yards (J.Mays; Q.Carter).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,1,New England Patriots,1,5,0,43 Yard Run,1st & 10 at 50,13:50 1st No Huddle,— A.Hernandez left end to DEN 7 for 43 yards (C.Harris; Q.Carter).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,1,New England Patriots,1,6,1,Touchdown,1st & 7 at DEN 7,"13:14 1st No Huddle, Shotgun","— T.Brady pass short middle to W.Welker for 7 yards, TOUCHDOWN. NE 12-Brady 18th consecutive postseason game with a TD pass, 2nd longest streak all-time (Favre 20). NE 12-Brady 31st career postseason TD pass, ties Kurt Warner for 4th all-time."
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,1,New England Patriots,1,7,1,Extra Point,,13:09 1st,"— S.Gostkowski extra point is GOOD, Center-D.Aiken, Holder-Z.Mesko."
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,2,Denver Broncos,0,1,0,Kickoff from NE 35,,Kickoff,— S.Gostkowski kicks 58 yards from NE 35 to DEN 7. M.Willis to DEN 24 for 17 yards (M.Slater; S.Brown).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,2,Denver Broncos,0,2,0,5 Yard Run,1st & 10 at DEN 24,13:04 1st,— W.McGahee left tackle to DEN 29 for 5 yards (P.Chung).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,2,Denver Broncos,0,3,0,Pass Incomplete,2nd & 5 at DEN 29,12:22 1st Shotgun,— T.Tebow pass incomplete deep right to E.Royal.
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,2,Denver Broncos,0,4,0,14 Yard Run,3rd & 5 at DEN 29,12:14 1st Shotgun,— T.Tebow scrambles left end to DEN 43 for 14 yards (K.Arrington; P.Chung).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,2,Denver Broncos,0,5,0,19 Yard Run,1st & 10 at DEN 43,11:32 1st Shotgun,— W.McGahee up the middle to NE 38 for 19 yards (J.Ihedigbo).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,2,Denver Broncos,0,6,0,1 Yard Run,1st & 10 at NE 38,10:54 1st Shotgun,— L.Ball left guard to NE 37 for 1 yard (J.Mayo; B.Spikes).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,2,Denver Broncos,0,7,0,Fumble,2nd & 9 at NE 37,10:14 1st Shotgun,"— T.Tebow sacked at NE 41 for -4 yards (R.Ninkovich). FUMBLES (R.Ninkovich) [R.Ninkovich], RECOVERED by NE-B.Spikes at NE 41. B.Spikes to NE 41 for no gain (O.Franklin)."
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,1,0,8 Yard Pass,1st & 10 at NE 41,10:07 1st Shotgun,— T.Brady pass short middle to W.Welker to NE 49 for 8 yards (D.Bruton).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,2,0,5 Yard Run,2nd & 2 at NE 49,"09:29 1st No Huddle, Shotgun",— A.Hernandez right tackle to DEN 46 for 5 yards (D.Bruton).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,3,0,4 Yard Pass,1st & 10 at DEN 46,"09:01 1st No Huddle, Shotgun",— T.Brady pass short middle to R.Gronkowski to DEN 42 for 4 yards (D.Bruton).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,4,0,9 Yard Pass,2nd & 6 at DEN 42,"08:27 1st No Huddle, Shotgun",— T.Brady pass short left to A.Hernandez to DEN 33 for 9 yards (D.Bruton; D.Williams).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,5,0,16 Yard Pass,1st & 10 at DEN 33,"07:56 1st No Huddle, Shotgun",— T.Brady pass short middle to R.Gronkowski to DEN 17 for 16 yards (Q.Carter; D.Williams) [V.Miller]. DEN-Q.Carter was injured during the play.
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,6,0,7 Yard Run,1st & 10 at DEN 17,07:17 1st,— D.Woodhead left end to DEN 10 for 7 yards (C.Harris; M.Thomas).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,7,1,Touchdown,2nd & 3 at DEN 10,"07:17 1st No Huddle, Shotgun","— T.Brady pass short left to R.Gronkowski for 10 yards, TOUCHDOWN. NE 12-Brady 32nd career postseason TD pass, ties Dan Marino for 3rd all-time. The Replay Assistant challenged the pass completion ruling, and the play was Upheld."
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,3,New England Patriots,1,8,1,Extra Point,,06:42 1st,"— S.Gostkowski extra point is GOOD, Center-D.Aiken, Holder-Z.Mesko."
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,4,Denver Broncos,0,1,0,Kickoff from NE 35,,Kickoff,— S.Gostkowski kicks 55 yards from NE 35 to DEN 10. M.Willis to DEN 17 for 7 yards (T.White).
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,4,Denver Broncos,0,2,0,5 Yard Penalty,1st & 10 at DEN 17,06:37 1st,"— C.Clark reported in as eligible. PENALTY on NE-V.Wilfork, Encroachment, 5 yards, enforced at DEN 17 - No Play."
2011,DIVISIONAL PLAYOFFS,Saturday,January 14th,DEN,NE,1st Quarter,4,Denver Broncos,0,3,0,-2 Yard Run,1st & 5 at DEN 22,06:37 1st Shotgun,— W.McGahee right end to DEN 20 for -2 yards (R.Ninkovich).
