Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,1,0,Kickoff from ARI 35,,Kickoff,— J.Feely kicks 71 yards from ARI 35 to NO -6. J.Morgan to NO 23 for 29 yards (D.Sampson).
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,2,0,1 Yard Pass,1st & 10 at NO 23,15:00 1st Shotgun,— D.Brees pass short left to P.Thomas to NO 24 for 1 yard (D.Williams).
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,3,0,20 Yard Pass,2nd & 9 at NO 24,14:36 1st,— D.Brees pass short right to P.Thomas to NO 44 for 20 yards (K.Rhodes) [P.Lenon].
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,4,0,8 Yard Pass,1st & 10 at NO 44,14:00 1st,— D.Brees pass short left to D.Sproles to ARI 48 for 8 yards (W.Gay).
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,5,0,12 Yard Run,2nd & 2 at ARI 48,13:30 1st,— P.Thomas left guard to ARI 36 for 12 yards (R.Johnson).
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,6,0,11 Yard Run,1st & 10 at ARI 36,13:05 1st,— D.Sproles left tackle to ARI 25 for 11 yards (D.Washington).
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,7,0,Pass Incomplete,1st & 10 at ARI 25,13:05 1st,— D.Brees pass incomplete short right to D.Henderson.
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,8,0,12 Yard Pass,2nd & 10 at ARI 25,12:24 1st Shotgun,— D.Brees pass short right to J.Morgan to ARI 13 for 12 yards (P.Peterson).
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,9,0,Timeout,,11:51 1st,— Timeout #1 by NO at 11:51.
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,10,0,10 Yard Run,1st & 10 at ARI 13,11:51 1st,— M.Ingram right guard to ARI 3 for 10 yards (K.Rhodes).
2012,HALL OF FAME,Sunday,August 5th,ARI,NO,1st Quarter,1,New Orleans Saints,1,11,0,2 Yard Run,1st & 3 at ARI 3,11:26 1st,— M.Ingram left guard to ARI 1 for 2 yards (R.Johnson).
