Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,1,0,Kickoff from SD 35,,Kickoff,— N.Novak kicks 71 yards from SD 35 to DEN -6. T.Holliday pushed ob at DEN 33 for 39 yards (R.Marshall).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,2,0,22 Yard Pass,1st & 10 at DEN 33,14:52 1st,— P.Manning pass deep right to J.Thomas to SD 45 for 22 yards (J.Addae).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,3,0,6 Yard Run,1st & 10 at SD 45,"14:23 1st No Huddle, Shotgun",— K.Moreno right tackle to SD 39 for 6 yards (S.Wright).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,4,0,8 Yard Pass,2nd & 4 at SD 39,"13:49 1st No Huddle, Shotgun",— P.Manning pass short right to D.Thomas pushed ob at SD 31 for 8 yards (S.Wright).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,5,0,Pass Incomplete,1st & 10 at SD 31,"13:23 1st No Huddle, Shotgun",— P.Manning pass incomplete deep right to D.Thomas.
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,6,0,5 Yard Run,2nd & 10 at SD 31,"13:19 1st No Huddle, Shotgun",— K.Moreno left tackle to SD 26 for 5 yards (M.Te'o).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,7,0,11 Yard Pass,3rd & 5 at SD 26,"12:36 1st No Huddle, Shotgun",— P.Manning pass short middle to J.Thomas to SD 15 for 11 yards (R.Walker).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,8,1,Touchdown,1st & 10 at SD 15,"11:57 1st No Huddle, Shotgun","— P.Manning pass short left to A.Caldwell for 15 yards, TOUCHDOWN."
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,1,Denver Broncos,1,9,1,Extra Point,,11:51 1st,"— M.Prater extra point is GOOD, Center-A.Brewer, Holder-B.Colquitt."
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,2,Los Angeles Chargers,1,1,0,Kickoff from DEN 35,,Kickoff,"— M.Prater kicks 65 yards from DEN 35 to end zone, Touchback."
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,2,Los Angeles Chargers,1,2,0,18 Yard Run,1st & 10 at SD 20,11:51 1st Shotgun,— R.Mathews left tackle to SD 38 for 18 yards (M.Adams).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,2,Los Angeles Chargers,1,3,0,5 Yard Penalty,1st & 10 at SD 38,"11:15 1st No Huddle, Shotgun","— PENALTY on DEN, Defensive 12 On-field, 5 yards, enforced at SD 38 - No Play."
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,2,Los Angeles Chargers,1,4,0,-1 Yard Run,1st & 5 at SD 43,"11:01 1st No Huddle, Shotgun",— R.Mathews up the middle to SD 42 for -1 yards (V.Miller).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,2,Los Angeles Chargers,1,5,0,5 Yard Penalty,2nd & 6 at SD 42,10:21 1st Shotgun,"— P.Rivers pass short left to A.Gates to SD 47 for 5 yards (D.Trevathan). PENALTY on DEN-V.Miller, Defensive Offside, 5 yards, enforced at SD 42 - No Play."
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,2,Los Angeles Chargers,1,6,0,3 Yard Run,2nd & 1 at SD 47,10:00 1st,— R.Mathews up the middle to 50 for 3 yards (M.Jackson).
2013,WEEK 15,Thursday,December 12th,SD,DEN,1st Quarter,2,Los Angeles Chargers,1,7,0,14 Yard Pass,1st & 10 at 50,"08:55 1st No Huddle, Shotgun",— P.Rivers pass short left to V.Brown ran ob at DEN 36 for 14 yards.
