Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,1,0,Kickoff from CHI 35,,Kickoff,— R.Gould kicks 66 yards from CHI 35 to JAX -1. J.Todman to JAX 28 for 29 yards (B.Vereen).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,2,0,6 Yard Run,1st & 10 at JAC 28,14:54 1st,— T.Gerhart left guard to JAX 34 for 6 yards (D.Williams).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,3,0,Pass Incomplete,2nd & 4 at JAC 34,"14:25 1st No Huddle, Shotgun",— C.Henne pass incomplete short right to A.Hurns.
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,4,0,10 Yard Pass,3rd & 4 at JAC 34,14:22 1st Shotgun,— C.Henne pass short left to M.Lee to JAX 44 for 10 yards (R.Mundy).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,5,0,0 Yard Run,1st & 10 at JAC 44,13:47 1st No Huddle,— T.Gerhart right end to JAX 44 for no gain (T.Jennings).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,6,0,20 Yard Pass,2nd & 10 at JAC 44,"13:15 1st No Huddle, Shotgun",— C.Henne pass short right to M.Lewis pushed ob at CHI 36 for 20 yards (D.McCray).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,7,0,8 Yard Pass,1st & 10 at CHI 36,12:56 1st No Huddle,— C.Henne pass short left to M.Lee pushed ob at CHI 28 for 8 yards (T.Jennings).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,8,0,1 Yard Run,2nd & 2 at CHI 28,12:40 1st No Huddle,— T.Gerhart left guard to CHI 27 for 1 yard (S.McClellin).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,9,0,-4 Yard Run,3rd & 1 at CHI 27,12:03 1st,— T.Gerhart left end to CHI 31 for -4 yards (J.Bostic).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,1,Jacksonville Jaguars,1,10,1,Field Goal,4th & 5 at CHI 31,11:18 1st,"— J.Scobee 49 yard field goal is GOOD, Center-C.Tinker, Holder-B.Anger."
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,2,Chicago Bears,0,1,0,Kickoff from JAC 35,,Kickoff,— J.Scobee kicks 70 yards from JAX 35 to CHI -5. E.Weems to CHI 17 for 22 yards (D.McCray).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,2,Chicago Bears,0,2,0,Pass Incomplete,1st & 10 at CHI 17,11:07 1st Shotgun,— J.Cutler pass incomplete short right to B.Marshall.
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,2,Chicago Bears,0,3,0,7 Yard Pass,2nd & 10 at CHI 17,11:01 1st Shotgun,— J.Cutler pass short right to A.Jeffery pushed ob at CHI 24 for 7 yards (D.Gratz).
2014,PRESEASON WEEK 2,Thursday,August 14th,JAC,CHI,1st Quarter,2,Chicago Bears,0,4,0,1 Yard Pass,3rd & 3 at CHI 24,10:31 1st Shotgun,— J.Cutler pass short right to M.Forte to CHI 25 for 1 yard (D.Gratz).
